id,level,name,gregorian_time,lunar_time,season,sort_order,description,knowledge_json
季节-春,季节,春,3月-5月,农历一〜三月,春,101,春季养肝，这样吃解春困！,"[""春季（3月-5月，农历一〜三月）的应季水果共 9 种：草莓、樱桃、枇杷、桑葚、青梅、油桃、番石榴、青枣、莲雾（春末）。春季养肝，这样吃解春困！"",""春季（3月-5月，农历一〜三月）的应季蔬菜共 21 种：春笋、韭菜、荠菜、菠菜、芹菜、莴笋、香椿、蒜苗、豌豆、茼蒿、油菜、辣椒、青椒、彩椒、洋葱、菜花、甜豌豆、马兰头、瓠子、菜心、豌豆苗。春季养肝，这样吃解春困！""]"
季节-夏,季节,夏,6月-8月,农历四〜六月,夏,102,夏季养心，这样吃消火气！,"[""夏季（6月-8月，农历四〜六月）的应季水果共 20 种：西瓜、桃子、李子、杏子、葡萄、荔枝、龙眼、芒果、哈密瓜、香瓜、草莓、莲雾、菠萝、柠檬、百香果、火龙果、猕猴桃、香蕉、椰子、樱桃。夏季养心，这样吃消火气！"",""夏季（6月-8月，农历四〜六月）的应季蔬菜共 26 种：冬瓜、丝瓜、苦瓜、黄瓜、空心菜、豆角、茄子、番茄、毛豆、莲藕、生菜、辣椒、四季豆、芦笋、茭白、洋葱、佛手瓜、南瓜、苋菜、山苏、龙须菜、红薯叶、竹笋、卷心菜、豇豆、蚕豆。夏季养心，这样吃消火气！""]"
季节-秋,季节,秋,9月-11月,农历七〜九月,秋,103,秋季润肺，这样吃抗病魔！,"[""秋季（9月-11月，农历七〜九月）的应季水果共 19 种：梨、苹果、石榴、柚子、橘子、冬枣、猕猴桃、柿子、木瓜、莲子、甘蔗、葡萄、火龙果、杨桃、番石榴、杏子、红枣、山楂、核桃。秋季润肺，这样吃抗病魔！"",""秋季（9月-11月，农历七〜九月）的应季蔬菜共 24 种：白萝卜、大白菜、山药、莲藕、西兰花、娃娃菜、秋葵、茨菇、南瓜、菱角、辣椒、栗子、冬瓜、四季豆（芸豆）、红薯叶、豆角、扁豆、菜花、胡萝卜、葱、黄瓜、番茄、茄子、百合。秋季润肺，这样吃抗病魔！""]"
季节-冬,季节,冬,12月-2月,农历十〜十二月,冬,104,冬季补肾，这样吃好体力！,"[""冬季（12月-2月，农历十〜十二月）的应季水果共 10 种：砂糖橘、橙子、沃柑、柚子、冬枣、雪莲果、甘蔗、橘子、青枣、释迦。冬季补肾，这样吃好体力！"",""冬季（12月-2月，农历十〜十二月）的应季蔬菜共 22 种：大白菜、白萝卜、冬笋、娃娃菜、茼蒿、油麦菜、卷心菜、胡萝卜、青椒、洋葱、菜花、甜豌豆、芹菜、菠菜、芥菜、葵年菜、莴笋、油菜、菜心、芥蓝、荸荠、莲藕。冬季补肾，这样吃好体力！""]"
月份-01,月份,1月,1月1日-1月31日,,冬,201,,"[""1月的应季水果共 6 种：砂糖橘、沃柑、赣南脐橙、猕猴桃、山楂、甘蔗。"",""1月的应季蔬菜共 10 种：大白菜、小白菜、菠菜、芹菜、白萝卜、胡萝卜、卷心菜、花菜、茨菇、香菇。""]"
月份-02,月份,2月,2月1日-2月28日,,冬,202,,"[""2月的应季水果共 6 种：砂糖橘、沃柑、赣南脐橙、猕猴桃、山楂、甘蔗。"",""2月的应季蔬菜共 8 种：大白菜、小白菜、菠菜、芹菜、菜心、卷心菜、荠菜、生菜。""]"
月份-03,月份,3月,3月1日-3月31日,,春,203,,"[""3月的应季水果共 5 种：草莓（尾季）、芒果（海南/广西早熟）、枇杷、桑葚、菠萝。"",""3月的应季蔬菜共 11 种：小白菜、菠菜、芹菜、菜心、韭菜、春笋、香椿、豌豆苗、蚕豆、荠菜、茼蒿。""]"
月份-04,月份,4月,4月1日-4月30日,,春,204,,"[""4月的应季水果共 5 种：草莓、枇杷、芒果、桑葚、樱桃（早熟）。"",""4月的应季蔬菜共 10 种：小白菜、莴笋、鸡毛菜、芹菜、春笋、香椿、韭菜、豌豆苗、蚕豆、荠菜。""]"
月份-05,月份,5月,5月1日-5月31日,,春,205,,"[""5月的应季水果共 9 种：草莓、枇杷、桑葚、樱桃、芒果、杨梅、油桃、李子、荔枝（早熟）。"",""5月的应季蔬菜共 11 种：小白菜、卷心菜、莴笋、鸡毛菜、黄瓜、番茄、蚕豆、茭白、茄子、丝瓜、苦瓜。""]"
月份-06,月份,6月,6月1日-6月30日,,夏,206,,"[""6月的应季水果共 10 种：西瓜、杨梅、樱桃、荔枝、枇杷（尾季）、水蜜桃、哈密瓜、火龙果、龙眼、葡萄（早熟）。"",""6月的应季蔬菜共 12 种：黄瓜、番茄、冬瓜、丝瓜、茄子、南瓜、卷心菜、土豆、鸡毛菜、刀豆、豇豆、毛豆。""]"
