id,calendar_id,level,time_name,season,category,name,note,recommendation_reason,source,entity_type,ingredient_id,core_ingredient_id,match_status,knowledge_json
SF0001,季节-冬,季节,冬,冬,水果,砂糖橘,,,用户参考,ingredient,8073,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季水果有砂糖橘。""]"
SF0002,季节-冬,季节,冬,冬,水果,橙子,,,用户参考,ingredient,154,154,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季水果有橙子。""]"
SF0003,季节-冬,季节,冬,冬,水果,沃柑,,,用户参考,ingredient,8068,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季水果有沃柑。""]"
SF0004,季节-冬,季节,冬,冬,水果,柚子,,,用户参考,ingredient,223,223,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季水果有柚子。""]"
SF0005,季节-冬,季节,冬,冬,水果,冬枣,,,用户参考,ingredient,520,520,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季水果有冬枣。""]"
SF0006,季节-冬,季节,冬,冬,水果,雪莲果,,,用户参考,ingredient,8084,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季水果有雪莲果。""]"
SF0007,季节-冬,季节,冬,冬,水果,甘蔗,,,用户参考,ingredient,8070,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季水果有甘蔗。""]"
SF0008,季节-冬,季节,冬,冬,水果,橘子,,,用户参考,ingredient,214,214,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季水果有橘子。""]"
SF0009,季节-冬,季节,冬,冬,水果,青枣,,,用户参考,ingredient,8085,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季水果有青枣。""]"
SF0010,季节-冬,季节,冬,冬,水果,释迦,,,用户参考,ingredient,8083,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季水果有释迦。""]"
SF0011,季节-冬,季节,冬,冬,蔬菜,大白菜,,,用户参考,ingredient,158,158,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有大白菜。""]"
SF0012,季节-冬,季节,冬,冬,蔬菜,白萝卜,,,用户参考,ingredient,63,63,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有白萝卜。""]"
SF0013,季节-冬,季节,冬,冬,蔬菜,冬笋,,,用户参考,ingredient,184,184,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有冬笋。""]"
