dish_ingredient_id,component_ingredient_id
596,11
596,49
694,11
694,49
740,1
740,3
740,2
910,1
910,2
923,1
923,3
923,2
1021,1
1021,3
1021,2
1350,1
1350,3
1350,2
1365,1
1365,3
1365,2
1426,1
1426,3
1426,2
1601,1
1601,3
2549,1
2549,2
2943,11
2943,50
2949,1
2949,3
2949,2
3099,1
3099,3
3726,1
3726,3
3726,2
4282,11
4282,49
4374,1
4374,2
4465,1
4465,3
4465,2
4812,1
4812,2
4952,1
4952,3
4952,2
5053,1
5053,3
5053,2
5680,1
5680,9
6054,1
6054,3
6054,2
6205,1
6205,3
6716,1
6716,3
6716,2
6994,1
6994,3
6994,2
7174,1
7174,3
7174,2
7570,1
7570,3
7570,2
7599,1
7599,3
7599,2
7979,1
7979,9
7991,1
7991,3
8013,1
8013,3
8013,2
8049,1
8049,3
8049,2
9116,1
9116,3
9511,3
9511,1
9511,2
9583,1
9583,3
9583,2
9593,1
9593,3
9593,2
9842,1
9842,3
9842,2
9868,1
9868,3
9868,2
9879,1
9879,3
9879,2
10083,1
10083,3
10083,2
10165,35
10165,36
10175,1
10175,3
10175,2
11165,1
11165,3
11662,1
11662,3
11662,2
11686,1
11686,3
11686,2
11778,1
11778,3
11778,2
12004,1
12004,3
12004,2
12372,11
12372,49
12632,1
12632,3
12646,1
12646,3
12714,1
12714,3
12714,2
12726,1
12726,3
12726,2
12845,1
12845,3
12845,2
12875,11
12875,49
13098,1
13098,3
13098,2
13435,1
13435,3
13435,2
13944,1
13944,3
14152,1
14152,3
14171,1
14171,2
14200,1
14200,3
14286,1
14286,2
14404,1
14404,2
14820,1
14820,3
14842,1
14842,3
14911,1
14911,9
14980,1
14980,3
15045,11
15045,49
15624,1
15624,3
16168,1
16168,3
16168,2
16669,1
16669,3
16734,1
16734,3
16734,2
17170,1
17170,3
17258,1
17258,3
17258,2
17379,3
17379,1
17379,2
17606,1
17606,3
17676,1
17676,3
17676,2
17983,1
17983,3
17983,2
18478,1
18478,3
18478,2
18700,1
18700,3
18700,2
18717,1
18717,3
18717,2
18809,1
18809,3
18809,2
18831,1
18831,3
18831,2
19127,1
19127,2
19162,1
19162,3
19166,1
19166,3
19166,2
19482,11
19482,50
19603,1
19603,3
19603,2
19718,1
19718,3
19718,2
19743,1
19743,3
19968,1
19968,3
20025,1
20025,3
20059,1
20059,3
20059,2
20111,1
20111,3
20111,2
20304,11
20304,49
20352,11
20352,50
20470,1
20470,2
20834,1
20834,3
20834,2
20875,1
20875,3
20875,2
20981,11
20981,49
21533,1
21533,2
21576,11
21576,49
22049,9
22049,1
22217,1
22217,3
22217,2
22432,1
22432,3
22432,2
22470,1
22470,3
22580,1
22580,3
22658,11
22658,50
22718,1
22718,3
22718,2
22798,1
22798,2
23270,1
23270,3
23405,1
23405,3
23922,1
23922,3
23922,2
23959,3
23959,1
23959,2
24129,1
24129,3
24129,2
24801,1
24801,3
24801,2
24859,11
24859,49
25291,1
25291,3
25291,2
25409,1
25409,3
25473,1
25473,3
25473,2
25893,1
25893,3
26234,11
26234,49
26332,1
26332,3
26475,11
26475,49
26565,1
26565,3
26565,2
26997,1
26997,3
26997,2
26998,11
26998,49
27132,1
27132,3
27132,2
27154,1
27154,3
27154,2
27468,1
27468,3
27468,2
27559,1
27559,3
27729,1
27729,3
27729,2
27778,1
27778,3
27778,2
27791,1
27791,3
27791,2
27834,1
27834,3
27834,2
28044,1
28044,3
28044,2
28170,1
28170,3
28170,2
28511,1
28511,3
28511,2
29307,11
29307,50
29483,1
29483,3
29483,2
29839,1
29839,3
29839,2
29936,1
29936,3
29936,2
29999,1
29999,3
29999,2
30047,1
30047,2
30197,1
30197,3
30197,2
30210,1
30210,3
30210,2
30224,1
30224,3
30704,1
30704,3
30704,2
30731,1
30731,3
30731,2
30927,1
30927,3
30927,2
30988,1
30988,3
30988,2
31047,1
31047,3
31047,2
31137,1
31137,3
31137,2
31245,3
31245,1
31245,2
31666,71
31666,589
31668,1
31668,3
31668,2
31744,1
31744,3
31744,2
31986,1
31986,3
31986,2
32423,1
32423,2
32430,1
32430,3
32430,2
32545,1
32545,3
32545,2
32593,1
32593,3
32641,1
32641,3
32641,2
32927,1
32927,3
32927,2
33009,1
33009,3
33009,2
33619,1
33619,3
33922,1
33922,3
33952,11
33952,50
33994,1
33994,2
34385,1
34385,3
34385,2
34633,11
34633,49
35249,1
35249,3
35249,2
35360,1
35360,3
35360,2
35751,1
35751,3
35751,2
36000,1
36000,3
36000,2
36297,1
36297,3
36297,2
36497,1
36497,2
36544,1
36544,3
36544,2
36635,1
36635,3
36635,2
36951,11
36951,49
37488,1
37488,3
37724,11
37724,49
37775,11
37775,49
37881,1
37881,3
38259,1
38259,3
38259,2
38270,11
38270,50
38400,1
38400,3
38400,2
38449,1
38449,3
38449,2
38469,3
38469,1
38469,2
38492,1
38492,3
38492,2
38623,1
38623,3
39211,1
39211,3
39211,2
39356,1
39356,3
39356,2
39384,1
39384,3
39384,2
39597,1
39597,3
39597,2
39750,1
39750,3
39750,2
39985,1
39985,3
40196,1
40196,3
40196,2
40501,1
40501,3
40501,2
40514,1
40514,3
40803,1
40803,3
40803,2
41027,11
41027,49
41028,1
41028,3
41430,1
41430,3
41430,2
41650,1
41650,3
41650,2
41833,1
41833,3
41833,2
41875,1
41875,3
41875,2
42138,1
42138,3
42138,2
42434,1
42434,3
42519,1
42519,3
42519,2
42678,1
42678,3
42678,2
42957,1
42957,3
42957,2
43020,1
43020,3
43020,2
43390,1
43390,3
43390,2
43786,1
43786,9
43932,1
43932,2
44268,1
44268,3
44268,2
44325,11
44325,50
44423,1
44423,3
44689,1
44689,2
44762,1
44762,3
44762,2
45164,1
45164,3
45164,2
45599,1
45599,3
46041,1
46041,3
46041,2
46073,1
46073,3
46073,2
46167,11
46167,49
46370,1
46370,3
46375,1
46375,3
46375,2
46462,2
46462,1
46674,1
46674,3
46706,1
46706,3
46706,2
47034,1
47034,3
47055,1
47055,3
47209,1
47209,3
47209,2
47398,1
47398,3
47398,2
47545,1
47545,3
47545,2
47614,1
47614,3
47664,11
47664,50
47666,1
47666,3
47666,2
47861,1
47861,3
47861,2
47979,1
47979,3
47979,2
48024,1
48024,3
48093,1
48093,3
48452,1
48452,2
48512,1
48512,3
48610,11
48610,49
48624,1
48624,3
48911,11
48911,49
49011,1
49011,3
49067,1
49067,3
49067,2
49108,1
49108,3
49108,2
49186,1
49186,3
49186,2
49569,11
49569,49
49810,1
49810,3
49810,2
50440,11
50440,49
50565,1
50565,3
50565,2
50683,1
50683,3
50683,2
51224,1
51224,3
51224,2
51730,1
51730,3
51730,2
51761,1
51761,3
52180,1
52180,2
52373,1
52373,3
52373,2
