dish_id,ingredient_id,source_ingredient_id,match_type
5,14,14,direct
5,46,46,direct
5,66,66,direct
15,7,7,direct
15,75,75,direct
19,1,1,direct
19,3,3,direct
19,36,36,direct
19,52,52,direct
19,178,178,direct
44,11,11,direct
51,5,5,direct
51,6,6,direct
51,12,12,direct
51,15,15,direct
51,24,15,ancestor
68,7,7,direct
68,14,14,direct
77,3,3,direct
77,6,6,direct
77,63,63,direct
77,274,274,direct
112,3,3,direct
134,1,1,direct
134,2,2,direct
135,2,2,direct
135,3,3,direct
135,84,84,direct
138,6,6,direct
138,23,23,direct
138,24,24,direct
166,1,1,direct
166,2,2,direct
166,3,3,direct
166,91,91,direct
166,431,431,direct
185,1,1,direct
185,24,589,ancestor
185,589,589,direct
192,14,14,direct
192,36,36,direct
192,80,80,direct
197,3,3,direct
197,8,82,ancestor
197,59,59,direct
197,82,82,direct
235,2,2,direct
235,27,27,direct
238,1,1,direct
238,2,2,direct
238,3,3,direct
238,11,11,direct
238,24,143,ancestor
238,143,143,direct
263,2,2,direct
263,3,3,direct
263,24,24,direct
263,147,147,direct
265,3,3,direct
265,88,88,direct
265,254,254,direct
283,2,2,direct
283,26,26,direct
335,3,3,direct
335,6,6,direct
335,21,21,direct
335,24,24,direct
335,57,57,direct
335,254,254,direct
349,2,2,direct
349,3,3,direct
349,11,11,direct
349,12,12,direct
349,24,589,ancestor
349,589,589,direct
366,288,288,direct
368,1,1,direct
368,3,3,direct
368,9,9,direct
368,11,11,direct
368,31,31,direct
368,91,91,direct
368,397,397,direct
375,1,1,direct
375,2,2,direct
375,11,11,direct
375,110,110,direct
400,2,2,direct
400,3,3,direct
400,426,426,direct
413,1,1,direct
413,2,2,direct
413,3,3,direct
415,3,3,direct
415,4,37,ancestor
415,33,33,direct
415,37,37,direct
415,145,145,direct
418,2,2,direct
418,3,3,direct
418,5,5,direct
427,1,1,direct
427,6,6,direct
427,9,9,direct
427,16,16,direct
427,19,19,direct
427,26,26,direct
427,92,92,direct
427,218,218,direct
430,3,3,direct
436,2,2,direct
436,33,33,direct
436,134,134,direct
436,239,239,direct
436,362,362,direct
445,1,1,direct
445,2,2,direct
445,3,3,direct
445,40,40,direct
454,3,3,direct
454,17,17,direct
454,24,24,direct
469,1,1,direct
469,2,2,direct
490,2,2,direct
490,3,3,direct
490,11,11,direct
490,24,24,direct
490,49,49,direct
504,2,2,direct
504,8,8,direct
504,123,123,direct
526,2,2,direct
526,22,22,direct
526,53,53,direct
532,2,2,direct
532,3,3,direct
532,4,4,direct
532,5,5,direct
532,11,11,direct
532,49,49,direct
532,110,110,direct
542,8,8,direct
542,104,104,direct
595,2,2,direct
595,3,3,direct
595,60,60,direct
596,1,1,direct
612,1,1,direct
612,7,7,direct
625,3,3,direct
625,9,9,direct
625,57,57,direct
625,58,140,ancestor
625,63,63,direct
625,140,140,direct
627,1,1,direct
627,2,2,direct
627,3,3,direct
627,235,235,direct
670,6,6,direct
670,7,7,direct
670,23,23,direct
670,40,40,direct
670,536,536,direct
696,1,1,direct
696,3,3,direct
696,17,17,direct
728,3,3,direct
728,5,5,direct
728,8,82,ancestor
728,12,12,direct
728,14,14,direct
728,82,82,direct
768,1,1,direct
768,3,3,direct
768,4,204,ancestor
768,204,204,direct
780,1,1,direct
780,111,111,direct
783,4,4,direct
783,11,11,direct
789,1,1,direct
789,2,2,direct
789,7,7,direct
789,18,18,direct
789,60,60,direct
789,106,106,direct
791,1,1,direct
791,3,3,direct
791,11,11,direct
