id,dish_id,ingredient_id,catalog_ingredient_id,raw_name,raw_text,quantity,role,grams,grams_source
1,5,66,66,肥牛,150克肥牛,150克,main,150.0,explicit
2,5,14,14,西红柿,1个西红柿,1个,main,100.0,per_unit
3,5,46,46,金针菇,1把金针菇,1把,main,100.0,per_unit
4,5,,5489,糖,5克糖,5克,seasoning,5.0,explicit
5,5,,5134,盐,6克盐,6克,seasoning,6.0,explicit
6,5,,6588,耗油,1勺耗油,1勺,seasoning,5.0,per_unit
7,5,,4928,生抽,2勺生抽,2勺,seasoning,10.0,per_unit
8,5,,5004,番茄酱,1勺番茄酱,1勺,seasoning,10.0,per_unit
9,5,,2507,嘬香葱,1嘬香葱,适量,other_food,0.0,vague
10,15,75,75,紫菜,紫菜,适量,main,0.0,vague
11,15,,7785,鸡精,适量鸡精,适量,seasoning,0.0,vague
12,15,7,7,鸡蛋,1个鸡蛋,1个,main,50.0,per_unit
13,15,,5134,盐,适量盐,适量,seasoning,0.0,vague
14,15,,7093,醋,适量醋,适量,seasoning,0.0,vague
15,19,178,178,巴沙鱼,2条冷冻去皮巴沙鱼,2条,main,200.0,category
16,19,,6088,花椒,2克花椒,2克,seasoning,2.0,explicit
17,19,,3154,干辣椒,10克干辣椒,10克,seasoning,10.0,explicit
18,19,,3969,段大葱,2-3段大葱,适量,other_food,0.0,vague
19,19,3,3,姜片,3-5片姜片,5片,main,40.0,per_unit
20,19,,4735,独蒜,2颗独蒜,2颗,other_food,20.0,per_unit
21,19,,5134,盐,一小勺盐,一小勺,seasoning,5,per_unit
22,19,,4321,淀粉,10克淀粉,10克,processed,10.0,explicit
23,19,,4828,玉米油,35克玉米油,35克,seasoning,35.0,explicit
24,19,,4928,生抽,20克生抽,20克,seasoning,20.0,explicit
25,19,,3600,料酒,20克料酒,20克,seasoning,20.0,explicit
26,19,,7993,黑胡椒粉,一小勺黑胡椒粉,一小勺,seasoning,2,per_unit
27,19,,5489,糖,5克糖,5克,seasoning,5.0,explicit
28,19,,2553,四川豆瓣,50克四川豆瓣,50克,other_food,50.0,explicit
29,19,52,52,蛋白,一个蛋白,一个,main,50,category
30,19,36,36,白芝麻,适量白芝麻,适量,main,0.0,vague
31,19,1,1,香葱,适量香葱,适量,main,0.0,vague
32,44,11,11,青椒,1个青椒,1个,main,80.0,per_unit
33,44,,1499,假鲍鱼,250克假鲍鱼,250克,other_food,250.0,explicit
34,44,,3154,干辣椒,1个干辣椒,1个,seasoning,1.0,per_unit
35,51,6,6,胡萝卜,1根(小的)胡萝卜,1根,main,120.0,per_unit
36,51,15,15,鸡胸肉,1块(去骨切丁)鸡胸肉,1块,main,150.0,per_unit
37,51,5,5,洋葱,1个(小的)洋葱,1个,main,150.0,per_unit
38,51,12,12,土豆,1个(小的)土豆,1个,main,150.0,per_unit
39,51,,2446,咖喱块,6块(牛头牌)咖喱块,6块,other_food,120.0,per_unit
40,51,,3600,料酒,1勺料酒,1勺,seasoning,5.0,per_unit
41,51,,5134,盐,少许盐,少许,seasoning,0.0,vague
42,51,,7467,食油,少许食用油,少许,seasoning,0.0,vague
43,68,14,14,西红柿,2个西红柿,2个,main,200.0,per_unit
44,68,7,7,鸡蛋,1个鸡蛋,1个,main,50.0,per_unit
45,68,,5134,盐,2勺盐,2勺,seasoning,10.0,per_unit
46,68,,4321,淀粉,1勺淀粉,1勺,processed,5.0,per_unit
47,77,63,63,白萝卜,1根白萝卜,1根,main,500.0,per_unit
48,77,6,6,胡萝卜,1根胡萝卜,1根,main,120.0,per_unit
49,77,274,274,泰椒,适量泰椒,适量,main,0.0,vague
