id,original_name,cleaned_name,changed,rules
5,西红柿肥牛汤（2人食快手菜）,西红柿肥牛汤,1,删除括号说明
15,紫菜蛋花汤,紫菜蛋花汤,0,未修改
19,水煮鱼,水煮鱼,0,未修改
44,爆炒假鲍鱼,爆炒假鲍鱼,0,未修改
51,咖喱鸡肉饭,咖喱鸡肉饭,0,未修改
68,超美味的西红柿蛋汤,西红柿蛋汤,1,删除营销定语
77,爽脆萝卜条,爽脆萝卜条,0,未修改
112,水煮海螺（附海螺的挑选方法）,水煮海螺,1,删除括号说明
134,醋溜白菜,醋溜白菜,0,未修改
135,下饭菜-豆角肉丁,豆角肉丁,1,删除分类前缀
138,广式香菇滑鸡包,广式香菇滑鸡包,0,未修改
166,不破皮红烧鳊鱼（含去腥大法）,不破皮红烧鳊鱼,1,删除括号说明
185,无油不用炒超快手健康简单蒸鸡腿&（延展-鸡丝面条）,蒸鸡腿,1,删除括号说明；删除营销定语
192,糖醋排骨,糖醋排骨,0,未修改
197,牛腩炖萝卜,牛腩炖萝卜,0,未修改
235,芹菜香干,芹菜香干,0,未修改
238,啤酒🍻三黄鸡,啤酒三黄鸡,1,删除装饰符号
263,茶树菇炖鸡,茶树菇炖鸡,0,未修改
265,鲜甜美味的蛤蜊丝瓜汤,蛤蜊丝瓜汤,1,删除营销定语
283,蒜香味儿咸芥菜疙瘩丝,蒜香味儿咸芥菜疙瘩丝,0,未修改
335,一道搞定汤和菜！清甜无花果丝瓜浸鸡煲,无花果丝瓜浸鸡煲,1,删除场景引导语；删除营销定语
349,红烧鸡腿肉,红烧鸡腿肉,0,未修改
366,猪皮冻,猪皮冻,0,未修改
368,䕨椒鲢鱼块,䕨椒鲢鱼块,0,未修改
375,家常烧茄子,家常烧茄子,0,未修改
400,老黄瓜炖泥鳅,老黄瓜炖泥鳅,0,未修改
413,莲藕焖排骨,莲藕焖排骨,0,未修改
415,川式青笋木耳炒肉片儿,川式青笋木耳炒肉片儿,0,未修改
418,独家鲜嫩豉汁爆炒花甲,鲜嫩豉汁爆炒花甲,1,删除营销定语
427,什锦凉拌菜,什锦凉拌菜,0,未修改
430,鲗鱼淮山汤,鲗鱼淮山汤,0,未修改
436,夏季四宝,夏季四宝,0,未修改
445,干蛤蜊拌菠菜,干蛤蜊拌菠菜,0,未修改
454,雪菜炒鸡,雪菜炒鸡,0,未修改
469,[原创] 泡椒魔芋这样做简直绝了，非常下饭,泡椒魔芋,1,删除开头标签；删除说明性后缀
490,下饭菜：生炒鸡块,生炒鸡块,1,删除分类前缀
504,【杭椒牛肉】快手下饭菜,杭椒牛肉,1,展开标题方括号；删除版本后缀
526,烤柠檬拌西兰花,烤柠檬拌西兰花,0,未修改
532,咸鱼茄子煲,咸鱼茄子煲,0,未修改
542,牛肉炒芦笋（少油版）,牛肉炒芦笋,1,删除括号说明
595,超简单的烂肉豌豆,烂肉豌豆,1,删除营销定语
596,白切莲藕,白切莲藕,0,未修改
612,豆腐蒸蛋,豆腐蒸蛋,0,未修改
625,白萝卜羊排汤,白萝卜羊排汤,0,未修改
627,家常红烧带鱼,家常红烧带鱼,0,未修改
670,芙蓉鲜蔬汤,芙蓉鲜蔬汤,0,未修改
696,超级下饭的红烧臭豆腐,红烧臭豆腐,1,删除营销定语
728,家常番茄土豆炖牛腩,家常番茄土豆炖牛腩,0,未修改
768,红焖猪蹄,红焖猪蹄,0,未修改
780,麻辣爆牛肚,麻辣爆牛肚,0,未修改
