dish_id,total_weight_g,energy_kcal,protein_g,fat_g,cho_g,dietary_fiber_g,ca_mg,fe_mg,na_mg,matched_ratio,weight_confidence,explicit_count,estimated_count,vague_count,suspect,nutrition_version
1,680.0,209.8,23.12,6.24,18.5,1.18,119.7,2.98,257.8,70.0,100.0,0,7,3,0,legacy
2,1386.0,1560.5,190.19,66.11,53.65,4.72,279.1,42.47,935.7,42.86,100.0,1,10,3,0,legacy
3,295.0,520.5,28.68,19.59,57.66,0.15,427.9,3.11,326.1,41.67,100.0,10,1,1,0,legacy
4,150.0,422.4,12.48,1.32,91.08,1.92,36.0,3.6,1.8,62.5,100.0,7,0,1,0,legacy
5,350.0,287.0,33.3,13.65,10.05,2.7,11.5,4.3,110.2,33.33,100.0,3,5,1,0,legacy
6,610.0,314.1,50.27,3.73,23.87,8.13,609.7,12.63,4910.9,40.0,100.0,2,4,4,0,legacy
7,500.0,1565.0,50.5,43.6,245.4,1.8,116.0,11.2,2377.3,50.0,100.0,1,3,2,0,legacy
8,514.0,639.8,28.2,15.19,98.81,1.77,352.1,3.7,217.5,77.78,100.0,0,7,2,0,legacy
9,0.0,0,0,0,0,0,0,0,0,60.0,0.0,0,0,5,0,legacy
10,418.0,814.4,76.26,46.09,23.31,0.36,41.4,3.84,205.4,30.0,100.0,0,10,0,0,legacy
11,0.0,0,0,0,0,0,0,0,0,100.0,0.0,0,0,6,0,legacy
12,305.0,81.6,3.7,4.04,7.67,0.0,119.1,0.32,74.3,75.0,100.0,4,0,0,0,legacy
13,420.0,1210.5,55.6,27.9,184.95,0.75,196.5,1.3,1126.6,45.45,100.0,3,7,1,0,legacy
14,350.0,225.5,14.47,12.94,12.96,0.0,284.8,1.52,218.6,60.0,100.0,0,3,2,0,legacy
15,50.0,69.5,6.55,4.3,1.2,0.0,28.0,0.8,65.8,40.0,100.0,0,1,4,0,legacy
16,0.0,0,0,0,0,0,0,0,0,20.0,100.0,2,2,1,0,legacy
17,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,100.0,5,0,2,0,legacy
18,800.0,97.5,4.95,5.4,7.35,0.0,160.5,0.45,95.5,50.0,100.0,6,0,0,0,legacy
19,330.0,113.0,7.84,1.54,19.54,5.25,17.9,2.02,46.4,47.06,100.0,8,6,3,0,legacy
20,825.0,11.8,0.55,0.09,2.36,0.34,16.4,0.32,3.1,37.5,100.0,5,3,0,0,legacy
21,600.0,23.5,2.8,0.55,2.25,0.8,18.0,1.2,14.9,50.0,100.0,8,0,0,0,legacy
22,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,100.0,0,1,6,0,legacy
23,1694.0,291.6,20.87,2.52,64.61,31.24,512.2,8.12,553.0,58.33,100.0,3,5,4,0,legacy
24,820.0,713.0,41.37,18.91,99.43,2.1,185.7,9.76,347.0,90.0,100.0,0,7,3,0,legacy
25,450.0,202.5,14.4,2.1,37.8,1.65,160.5,3.3,148.9,42.86,100.0,0,2,5,0,legacy
26,0.0,0,0,0,0,0,0,0,0,50.0,0.0,0,0,2,0,legacy
27,1550.0,3810.0,358.5,246.0,40.5,0.0,540.0,21.0,2535.0,57.14,75.0,0,3,3,0,legacy
28,0.0,0,0,0,0,0,0,0,0,25.0,0.0,0,0,12,0,legacy
30,1386.0,649.6,66.02,17.2,81.34,39.22,940.6,18.63,5416.2,80.0,100.0,6,3,1,0,legacy
32,430.0,1003.8,45.87,90.36,2.22,0.42,37.5,4.14,190.1,60.0,60.0,2,1,5,0,legacy
33,390.0,545.9,29.98,11.02,85.33,2.12,150.8,4.17,154.9,100.0,100.0,2,2,0,0,legacy
34,400.0,1384.0,31.6,3.6,308.8,2.4,32.0,4.4,7.2,25.0,100.0,4,0,0,0,legacy
35,345.0,393.9,50.69,17.61,9.5,3.3,2.7,4.65,178.2,44.44,100.0,0,5,4,0,legacy
36,400.0,281.5,23.9,9.0,27.2,1.65,15.5,2.4,72.9,44.44,100.0,0,6,3,0,legacy
37,0.0,0,0,0,0,0,0,0,0,66.67,0.0,0,0,3,0,legacy
