dish_id,tag_id
5,2
5,6
5,1
15,1
15,6
15,2
19,26
19,1
44,1
51,59
51,18
51,1
68,6
68,1
77,1
77,2
77,15
112,1
112,35
134,2
134,1
134,7
135,7
135,1
135,35
138,1
138,7
138,34
138,128
166,28
166,1
185,2
185,1
185,115
192,79
192,1
192,63
197,1
235,15
235,1
238,1
238,119
238,2
263,1
265,6
265,1
265,13
283,337
283,1
283,304
283,7
283,3
283,37
335,1
335,7
349,28
349,1
366,17
366,92
366,1
368,1
375,1
400,7
400,1
413,1
413,55
413,230
415,1
418,1
418,7
418,2
427,1
427,17
427,2
430,1
430,36
430,6
436,1
436,2
445,7
445,1
445,15
445,2
445,9
445,17
445,92
445,503
445,191
445,530
445,50
445,531
445,1480
454,1
454,2
469,32
469,2
469,1
490,7
490,1
504,7
504,35
504,1
504,169
504,2228
526,2
526,1
526,13
532,2
532,7
532,1
542,1
542,2
542,169
595,1
595,7
596,2
596,1
612,2
612,1
612,226
625,6
625,1
627,28
627,1
670,6
670,36
696,7
696,28
696,1
728,6
728,1
728,90
768,1
780,1
780,2
780,26
780,110
783,1
789,15
789,38
789,2
789,7
789,1
791,28
791,1
791,7
791,54
796,1
818,1
839,1
839,37
857,2
857,1
907,1
907,2
907,113
915,1
915,48
936,3
936,2
936,1
961,1
961,7
961,9
961,2
961,54
975,2
975,1
975,2234
975,714
976,1
978,56
978,2
978,149
978,315
978,232
978,113
978,49
981,58
981,1
994,1
1035,1
1035,28
1035,7
1072,2
1072,1
1072,7
1092,67
1092,1
1092,15
1101,1
1101,15
1101,37
1130,59
1130,1
1130,2
1130,25
1130,67
1131,1
1131,2
1165,1
1165,15
1185,1
1185,15
1185,2
1189,1
1189,7
1216,31
1216,1
1216,7
1236,2
1236,1
1236,7
1247,7
1247,1
1247,2
1249,1
1249,2
1249,7
1249,37
1249,13
1256,2
1256,15
1256,1
1292,7
1292,1
1322,1
1322,7
1331,1
1331,7
1331,2
1378,1
1378,15
1378,2
1451,2
1451,1
1477,6
1477,23
1477,3
1477,1
1477,2240
1479,1
1479,7
1479,2
1499,7
1499,1
1499,2
1503,41
1503,1
1503,7
1503,54
1514,1
1517,1
1517,2
1522,1
1535,1
1551,1
1551,15
1551,716
1551,2241
1551,146
1578,1
1578,23
1630,1
1630,7
1645,7
1645,1
1645,35
1678,2
1678,48
1678,1
1694,1
1696,1
1696,26
1696,15
1696,2
1696,7
1707,1
1722,122
1722,1
1722,7
1725,1
1761,1
1763,13
1763,1
1768,1
1768,7
1794,2
1794,7
1794,1
1794,2245
1802,18
1802,38
1802,162
1802,1
1802,2
1823,1
1845,7
1845,64
1845,1
1856,7
1856,1
1877,1
1877,7
1877,2
1884,1
1884,63
1884,2
1901,6
1901,1
1910,2
1910,1
1910,7
1910,81
1910,237
1917,2
1917,7
1987,7
1987,1
1987,2
2002,23
2002,1
2002,3
2002,128
2003,2
2003,1
2005,1
2005,7
2005,599
2010,2
2010,13
2010,1
2011,15
2011,1
2011,13
2023,6
2023,2
2023,1
2023,81
2023,36
2024,1
2024,7
2029,1
2042,2
2042,1
2044,42
2044,1
2044,192
2045,1
2045,15
2045,2
2045,48
2085,15
2085,2
2139,2
2139,13
2139,156
2139,1491
2139,360
2139,55
2139,18
2139,127
2147,17
2147,48
2147,13
2147,2
2147,1
2185,1
2185,2
2185,17
2195,17
2195,2
2195,1
2203,1
2203,29
2203,7
2205,2
2205,64
2205,135
2205,1
2248,1
2248,13
2253,23
2253,1
2330,1
2330,7
2330,35
2330,2256
2330,2257
2330,988
2330,26
2330,188
2335,2
2335,1
2335,204
2335,1496
2355,1
2355,15
2364,2
2364,18
2364,24
2364,56
2366,1
2389,6
2389,49
2389,1
2399,1
2399,64
2399,48
2407,6
2407,1
2407,36
2417,775
2417,1498
2417,1
2417,7
2418,2
2418,1
2426,1
2426,15
2426,7
2428,1
2428,49
2428,13
2434,2
2434,23
2434,1
2435,7
2435,1
2454,1
2461,1
2461,7
2461,2
2491,1
2491,28
2491,7
2492,2
2492,1
2539,1
2539,2
2540,2
2540,1
2540,7
2540,37
2543,78
2543,203
2543,23
2543,1
2543,35
2548,1
2548,2
2548,49
2560,1
2560,2
2560,7
2578,2
2578,1
2578,81
2578,245
2578,151
2578,399
2578,31
2578,717
2578,23
2578,78
2617,23
2617,1
2617,19
2617,142
2617,128
2617,602
2633,1
2633,2
2633,2262
2633,361
2633,1500
2644,28
2644,1
2644,2
2665,7
2665,1
2674,56
2674,1
2674,2263
2674,113
2674,153
2681,1
2752,2
2752,1
2752,13
2755,1
2755,64
2762,2
2762,1
2762,21
2762,71
2779,28
2779,62
2779,1
2795,1
2815,1
2815,9
2815,2
2815,24
2859,6
2859,1
2860,1
2897,2
2897,1
2897,2267
2897,2268
2897,296
2919,60
2919,2
2919,1
2919,506
2948,25
2948,1
2948,7
2978,1
2984,1
2984,67
3011,119
3011,1
3011,15
3025,1
3025,2
3034,2
3034,1
3036,2
3036,45
3036,168
3036,106
3036,1
3064,1
3064,15
3064,2
3071,1
3071,1179
3071,7
3071,245
3071,383
3071,23
3071,2271
3071,204
3081,1
3081,15
3081,2
3095,1
3095,28
3138,1
3210,7
3210,1
3210,15
3212,6
3212,1
3212,176
3218,1
3218,2
3218,60
3257,1
3257,48
3257,253
3257,146
3258,1
3258,28
3258,13
3273,1
3273,2
3273,112
3273,114
3337,1
3337,26
3337,7
3371,7
3371,15
3371,2
3378,2
3378,1
3383,7
3383,2
3383,1
3468,76
3468,1
3468,54
3516,2276
3516,1
3516,7
3516,2
3521,7
3521,1
3521,35
3560,7
3560,1
3560,35
3579,2
3579,6
3585,308
3585,1
3585,7
3585,439
3585,718
3609,1
3633,1
3633,2
3633,166
3633,232
3645,1
3645,2
3645,7
3649,1
3649,2
3653,23
3653,1
3653,2279
3684,17
3684,1
3702,1
3702,2
3702,7
3733,17
3733,15
3733,1
3733,2283
3750,13
3750,15
3750,2
3757,1
3757,2
3757,25
3761,1
3771,17
3771,1
3782,1
3782,7
3782,2
3782,24
3786,2
3786,1
3786,15
3789,32
3789,16
3789,1
3789,24
3789,23
3789,55
3789,40
3800,23
3800,1
3800,80
3811,1
3811,15
3811,2
3811,64
3811,7
3856,58
3856,2
3856,6
3877,1
3877,2
3877,7
3891,1
3891,116
3891,37
3922,1
3922,3
3922,13
3952,2
3952,1
4032,2
4032,90
4032,1
4052,1
4052,2
4052,7
4052,79
4052,1185
4062,23
4062,35
4062,1
4069,26
4069,1
4069,35
4069,131
4070,7
4070,1
4087,2
4087,1
4087,37
4087,54
4087,2287
4107,1
4107,7
4107,2
4150,1
4150,7
4150,2
4154,28
4154,1
4154,7
4185,1
4190,20
4190,3
4190,45
4190,13
4223,6
4223,2
4223,13
4227,17
4227,15
4227,2
4227,1
4227,80
4246,1
4246,7
4284,14
4284,33
4284,2
4284,1
4284,25
4284,40
4316,1
4316,12
4316,2
4322,2
4322,13
4322,246
4327,1
4327,7
4327,2
4368,15
4368,1
4368,49
4374,1
4384,1
4384,6
4384,20
4384,655
4384,401
4390,28
4390,1
4390,60
4390,2
4391,1
4391,2
4391,7
4400,1
4400,7
4430,28
4430,1
4430,7
4430,40
4450,6
4450,1
4457,1
4457,7
4489,7
4489,1
4537,2
4537,6
4537,1
4537,86
4569,6
4569,1
4602,1
4620,119
4620,7
4620,1
4631,26
4631,47
4631,1
4631,2
4644,2
4644,1
4644,7
4644,263
4655,1
4655,7
4683,135
4683,1
4683,32
4707,16
4707,2
4707,1
4707,31
4707,182
4720,1
4720,2
4720,43
4720,13
4720,67
4750,2
4750,1
4750,7
4758,1
4758,2
4758,7
4766,2
4766,7
4777,6
4777,49
4777,15
4777,36
4806,1
4806,6
4806,203
4806,81
4806,36
4821,23
4821,1
4821,2
4851,1
4851,15
4901,1
4901,15
4901,49
4906,1
4906,2
4906,15
4906,304
4906,13
4915,2
4915,1
4915,15
4958,1
4958,9
4958,3
4975,1
4975,58
5018,23
5018,7
5018,2
5047,1
5056,1
5117,1
5117,28
5117,7
5123,2
5123,1
5123,23
5128,56
5128,1
5128,18
5146,2
5146,7
5147,51
5147,24
5147,1
5217,57
5217,18
5217,2
5217,1
5217,40
5245,2
5245,20
5245,29
5245,7
5245,134
5245,37
5272,7
5272,2
5272,15
5272,48
5272,55
5296,1
5296,2
5296,7
5317,15
5317,1
5317,204
5343,1
5343,15
5343,2
5356,1
5356,2
5356,7
5375,54
5375,1
5375,41
5375,7
5375,17
5418,1
5432,1
5432,49
5432,2
5434,134
5434,1
5434,2
5438,49
5438,1
5438,23
5490,2
5490,1
5490,412
5490,2308
5554,6
5554,1
5569,17
5569,1
5569,2
5602,94
5602,2
5602,3
5602,24
5602,13
5607,2
5607,7
5607,13
5607,204
5608,1
5627,1
5627,2
5627,296
5631,1
5631,2
5631,15
5651,6
5651,1
5651,94
5651,15
5651,36
5663,15
5663,26
5663,1
5663,7
5663,2
5702,1
5702,2
5702,412
5702,230
5709,1
5709,140
5709,40
5711,15
5711,1
5748,301
5748,881
5748,998
5748,81
5748,1
5748,166
5748,362
5748,723
5748,7
5789,13
5789,1
5789,2
5811,1
5811,15
5821,7
5821,1
5821,41
5821,54
5823,152
5823,131
5823,7
5823,1
5823,26
5824,49
5824,1
5824,2
5827,1
5827,54
5827,7
5828,1
5828,7
5828,2312
5828,2
5849,2
5849,7
5849,1
5920,2
5920,1
5920,30
5927,1
5927,7
5927,251
5927,296
5927,71
5945,1
5945,15
5945,49
5945,48
5974,1
5974,2
5974,7
6008,1
6008,48
6053,2
6053,1
6053,7
6141,1
6168,2
6168,1
6204,1
6206,1
6218,36
6218,1
6218,9
6228,1
6228,90
6228,35
6231,2
6231,1
6231,7
6231,146
6231,92
6231,13
6231,170
6231,81
6231,237
6231,784
6236,1
6236,15
6236,7
6243,6
6273,1
6284,7
6284,1
6307,1
6307,2
6309,1
6310,7
6310,1
6310,28
6332,34
6332,3
6332,24
6332,45
6332,109
6372,2
6372,1
6372,220
6372,37
6390,1
6390,49
6390,15
6390,48
6390,88
6416,1
6416,2
6424,2
6424,1
6424,7
6424,54
6424,25
6424,40
6424,35
6468,6
6468,1
6490,2
6490,13
6490,1
6520,49
6520,2
6520,15
6520,17
6520,80
6520,163
6520,235
6529,54
6529,1
6529,2
6532,43
6532,101
6532,12
6535,2
6535,1
6535,23
6591,1
6687,2
6687,1
6687,16
6698,1
6699,1
6699,257
6721,2
6721,7
6721,1
6751,2
6751,1
6751,93
6811,1
6811,7
6811,37
6818,2
6818,108
6818,86
6818,513
6818,161
6818,1
6820,1
6820,18
6851,2
6851,1
6851,35
6851,41
6858,2
6858,1
6858,17
6859,1
6876,23
6876,152
6876,362
6876,1
6876,54
6897,424
6897,92
6897,1
6915,2
6915,1
6921,1
6921,55
6921,7
6929,2
6929,15
6929,1
6929,2331
6929,2332
6974,2
6974,339
6974,1
6974,2335
6974,56
6974,153
6982,1
6996,1
6996,7
6996,2
7009,2
7009,1
7009,48
7022,152
7022,1
7022,7
7030,1
7030,7
