id,dish_name,description,cuisine,ingredient_text,instruction_text,ingredient_count,main_ingredient_count,search_ingredient_count,total_weight_g
5,西红柿肥牛汤（2人食快手菜）,秋天了，西红柿浓汤炖肥牛，满满的番茄味儿，配上金针菇，暖暖的，可以配一大碗米饭，秋日的午后惬意十足。,,150克肥牛，1个西红柿，1把金针菇，5克糖，6克盐，1勺耗油，2勺生抽，1勺番茄酱，1嘬香葱,"1. 先上食材合集。家里剩下一点胡萝卜，所以切了放进去了，实际不必加胡萝卜。西红柿开水烫一下，去皮，切丁备用。胡萝卜切片。金针菇切去头，放盐水里泡几分钟。肥牛切片直接从冷冻室拿出来备用。
2. 烧开水，牛肉片滚水下，变色捞出。
3. 热锅，放油，烧热后放蒜爆锅。下西红柿翻炒1分钟，后加入水，没过西红柿，愿意喝汤的，可稍微多加水。放入番茄酱1勺，蚝油1勺，生抽2勺，盐6克，冰糖根据个人口味增减调放。加盖儿焖煮5分钟。这里焖煮是必须的，番茄浓汤就是靠焖煮出味儿。
4. 喜欢浓浓番茄味儿的，可以稍微再多焖两分钟。开盖后加入金针菇，肥牛片，约焖煮一分钟即可。略翻炒。
5. 起锅撒上葱花儿，喜欢麻油的，还可以滴两滴麻油。可香了。一碗香喷喷的西红柿金针菇肥牛片汤就完成了。盛上一碗米饭哇，简直太惬意了。",9,3,3,350.0
15,紫菜蛋花汤,,,紫菜，适量鸡精，1个鸡蛋，适量盐，适量醋,"1. 紫菜用温开水泡发，捞出控水
2. 鸡蛋打发
3. 起锅烧油，油热放葱花炒香，后加入水，煮沸
4. 加入紫菜，加盐，醋，把鸡蛋均匀的倒入锅中，快速搅动，最后加一点点鸡精
5. 焖1~2分钟左右，关火盛出 ，完美",5,2,2,50.0
19,水煮鱼,这道菜在我家点单率超高，话不多说，上菜谱😜,,2条冷冻去皮巴沙鱼，2克花椒，10克干辣椒，2-3段大葱，3-5片姜片，2颗独蒜，一小勺盐，10克淀粉，35克玉米油，20克生抽，20克料酒，一小勺黑胡椒粉，5克糖，50克四川豆瓣，一个蛋白，适量白芝麻，适量香葱,"1. 巴沙鱼切片加5克料酒，淀粉，黑胡椒粉，蛋白腌制20分钟
2. 花椒和干辣椒入小美主锅5分钟V档速度小勺炒香
3. 20秒速度10打碎，倒出一小部分备用，剩余的留在锅里
4. 加入玉米油、葱、姜、蒜、豆瓣酱，4分钟V档速度小勺爆香
5. 加入500克清水、剩余的10克料酒、生抽、糖设定时间10分钟温度100度反转小勺熬汤底
6. 另起一锅烧水，煮熟打底的蔬菜，放入大碗中
7. 汤底熬好后快速下入鱼片，用筷子滑散，时间4分钟温度100，反转小勺，音乐响起连汤带鱼全部倒入铺好素菜的碗里；将之前留下备用的辣椒碎撒在面上，再撒上香葱和白芝麻，另起一锅倒入30克菜籽油烧热淋面，上桌开吃。典型的米饭杀手啊😂😂😂",17,5,5,330.0
44,爆炒假鲍鱼,假鲍鱼也叫牛牛肉，老婆脚。实际是一种深海螺肉，因口感类似鲍鱼所以我们俗称假鲍鱼,,1个青椒，250克假鲍鱼，1个干辣椒,"1. 假鲍鱼解冻后稍微用水冲洗一下，去掉杂质。我是将其一切为二，实际个头如果不是很大的不切也可以
2. 锅里放适量油，下干辣椒炒出味道，然后再下青椒和假鲍鱼，青椒断生后稍微点一点水，然后出锅。
3. 出锅享用吧。我青椒不喜欢生的，所以稍微炒的久了一点。",3,1,1,81.0
51,咖喱鸡肉饭,,,1根(小的)胡萝卜，1块(去骨切丁)鸡胸肉，1个(小的)洋葱，1个(小的)土豆，6块(牛头牌)咖喱块，1勺料酒，少许盐，少许食用油,"1. 1.胡萝卜洗净切小块，土豆洗净切小块，洋葱洗净切小块;2.鸡胸肉去骨切丁，1勺料酒，少许盐，糖，生姜，食用油腌制一会儿
2. 起锅热油，把鸡肉倒下去，小火翻炒，其中再加一勺料酒炒均匀，把洋葱丢下去翻炒，接着下胡萝卜和土豆。加冷水盖过所有食材再预多1/3水，因为过程会蒸发很多水，水开后把咖喱块放进去，小火焖，时不时要翻动一下 因为会粘锅底，等熬成糊状就可以了。
3. 成品 ，非常美味可口。",8,4,5,570.0
68,超美味的西红柿蛋汤,人人都会做的西红柿蛋汤，我只喜欢喝我自己做的，不用加任何味精鸡精，健康美味,,2个西红柿，1个鸡蛋，2勺盐，1勺淀粉,"1. 热油下葱花爆锅
2. 西红柿下锅，，一定要切小小块，容易把汤汁都出来
3. 一直炒，炒到成酱一样，西红柿才不酸
4. 按照自己想要的量加水烧开
5. 开锅后把淀粉加水搅匀倒入锅中
6. 加入打散的鸡蛋，切记慢慢一点点的加，一边加一边搅散，我这个为了拍照搅得不够散，应该再散一点
7. 加盐，我这个是一大碗三个人喝的，所以加了两小勺盐，，特别怕酸的也可以再加点糖，，再烧开锅就可以盛出来享用了",4,2,2,255.0
77,爽脆萝卜条,这是一道我家冬天里没有断过的佐粥小菜，酸辣爽脆，分享给亲爱的厨友们，欢迎亲亲们尝试指点哦😙,,1根白萝卜，1根胡萝卜，适量泰椒，适量白醋，适量白糖，适量花椒，适量生姜，适量盐,"1. 将白萝卜洗净切成条状
2. 胡萝卜也切条😁
3. 洒适量盐进去拌匀，腌制一小时
4. 锅内放入泰椒
5. 放入生姜
6. 花椒
7. 白糖
8. 加水搅匀
9. 大火烧开
10. 关火加入适量白醋，自然晾凉
11. 将腌好的萝卜条挤干水份
12. 装进容器
13. 加入适量盐
14. 晾凉的调料水加入瓶中，密封保存一周左右即可。当然，着急的话第二天就可以吃，以我的经验腌制半个月风味最佳哈😄",8,4,4,620.0
112,水煮海螺（附海螺的挑选方法）,海螺不属于养殖的海产品，味道鲜美。最简单的吃法直接水煮了蘸姜末吃，想再讲究点呢可以煮熟后片片拌黄瓜。不过海螺含胆固醇高每次吃不要贪嘴，要控制好😄,,1000克海螺，5克姜末，5克盐，15克醋,"1. 海螺用刷子洗刷干净放入锅中，加凉水盐。大火烧开转中火煮3分钟。
2.      海螺按一下肉回缩的幅度很小就是当天新货新鲜的；不按的时候顶上这块软盖越往上越新鲜越肥。可以理解成肉结实。
    如果是很多天的海螺，盖和肉会在海螺的中间甚至还往里，这种也是活的，但是已经很瘦了。
3. 煮开后的白沫不用撇出来，这是蛋白。
4. 姜用刀背切姜末。
5. 加醋调一下，就是姜末汁了。
6. 煮好后直接装盘。
7. 用筷子转圈调出来，蘸姜末汁可以吃了😄。",4,1,1,1005.0
134,醋溜白菜,小时候不爱吃菜帮，无论是大白菜还是绿叶菜；现在学会了下厨，不仅掌握了营养搭配的知识，还可以把普通的蔬菜做得更可口。,,250克白菜帮，1个干红辣椒，3～4片大葱，2大勺陈醋，1大勺生抽，1大勺白糖，1/2小勺盐，少许水淀粉，1个蒜瓣,"1. 白菜帮洗净，斜刀片成稍大块的薄片；大葱切成牛眼、蒜切片，干红辣椒去籽剪成圈；
2. 炒锅倒入适量油加热至五成左右，下干辣椒、蒜片和大葱略煸，放入白菜后马上加入1大勺醋炒出香气；
3. 翻炒1分钟后调入生抽、白糖和盐，炒匀后再加入1勺醋，然后稍稍勾一点芡，淋几滴香油出锅即成。",9,2,2,395.0
135,下饭菜-豆角肉丁,拌一拌米饭,,500克豆角，250克肉丁，5瓣蒜末，5片姜末，2勺老抽，5勺生抽，1勺盐,"1. 豆角切丁，肉切丁。
2. 豆角焯水。
3. 豆角焯水后盛出。
4. 热锅红油。
5. 姜蒜末下锅煸香。
6. 肉丁下锅煸炒。
7. 肉丁煸炒出油。
8. 肉丁加入老抽炒出香味，再加入生抽。
9. 肉丁着色均匀后倒入豆角丁。
10. 翻炒均匀。
11. 盛盘出锅。",7,3,3,815.0
