old_id,name,usage_count,category_major,category_sub,drop_type,reason
4,牛奶,704,乳类及其制品,液态乳,processed,饮料、酒类或乳制品不属于本版核心原生食材
8,干辣椒,455,蔬菜类及其制品,茄果瓜菜类,seasoning,调味料不进入基础原生食材表
13,芝士,387,乳类及其制品,奶酪,processed,烘焙或乳制加工食品
14,淀粉,363,薯类淀粉及其制品,淀粉类,processed,成品、半成品或加工食品
19,火腿,313,畜肉类及其制品,猪,processed,加工肉制品
21,面粉,299,谷类及其制品,小麦,processed,成品、半成品或加工食品
24,低筋面粉,278,谷类及其制品,小麦,processed,成品、半成品或加工食品
26,中筋面粉,259,谷类及其制品,小麦,processed,成品、半成品或加工食品
27,椰浆,246,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
30,培根,240,畜肉类及其制品,猪,processed,加工肉制品
33,酸奶,227,乳类及其制品,酸奶,processed,饮料、酒类或乳制品不属于本版核心原生食材
34,葡萄干,225,水果类及其制品,浆果类,processed,成品、半成品或加工食品
37,可可粉,213,其他,烘焙与加工食品,processed,成品、半成品或加工食品
39,巧克力,210,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
42,意大利面,196,谷类及其制品,谷物,processed,成品、半成品或加工食品
43,高筋面粉,195,谷类及其制品,小麦,processed,成品、半成品或加工食品
45,香肠,191,畜肉类及其制品,猪,processed,加工肉制品
47,马苏里拉芝士,186,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
51,全麦面粉,176,其他,烘焙与加工食品,processed,成品、半成品或加工食品
52,抹茶粉,176,其他,烘焙与加工食品,processed,成品、半成品或加工食品
60,海苔,165,菌藻类,藻类,processed,成品、半成品或加工食品
66,炼乳,156,乳类及其制品,其他,processed,烘焙或乳制加工食品
67,奶粉,156,乳类及其制品,奶粉,processed,烘焙或乳制加工食品
71,火腿肠,149,畜肉类及其制品,猪,processed,加工肉制品
72,米饭,147,谷类及其制品,稻米,processed,成品、半成品或加工食品
77,豆腐,139,干豆类及其制品,大豆,processed,豆制品或淀粉制品（严格模式排除）
79,糯米粉,137,谷类及其制品,稻米,processed,成品、半成品或加工食品
81,面包,134,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
85,蔓越莓干,127,水果类及其制品,水果,processed,成品、半成品或加工食品
