id,name,usage_count,reason
1,牛奶,704,饮料、酒类或乳制品不属于本版核心原生食材
2,芝士,387,烘焙或乳制加工食品
3,淀粉,363,成品、半成品或加工食品
4,火腿,313,加工肉制品
5,面粉,299,成品、半成品或加工食品
6,低筋面粉,278,成品、半成品或加工食品
7,中筋面粉,259,成品、半成品或加工食品
8,椰浆,246,饮料、酒类或乳制品不属于本版核心原生食材
9,培根,240,加工肉制品
10,酸奶,227,饮料、酒类或乳制品不属于本版核心原生食材
11,葡萄干,225,成品、半成品或加工食品
12,可可粉,213,成品、半成品或加工食品
13,巧克力,210,烘焙或乳制加工食品
14,意大利面,196,成品、半成品或加工食品
15,高筋面粉,195,成品、半成品或加工食品
16,香肠,191,加工肉制品
17,马苏里拉芝士,186,烘焙或乳制加工食品
18,全麦面粉,176,成品、半成品或加工食品
19,抹茶粉,176,成品、半成品或加工食品
20,海苔,165,成品、半成品或加工食品
21,炼乳,156,烘焙或乳制加工食品
22,奶粉,156,烘焙或乳制加工食品
23,火腿肠,149,加工肉制品
24,米饭,147,成品、半成品或加工食品
25,豆腐,139,豆制品或淀粉制品（严格模式排除）
26,糯米粉,137,成品、半成品或加工食品
27,面包,134,烘焙或乳制加工食品
28,蔓越莓干,127,成品、半成品或加工食品
29,午餐肉,126,加工肉制品
30,奥利奥,125,不属于指南允许的基础原生食材类别
31,黑巧克力,123,烘焙或乳制加工食品
32,榨菜,123,不属于指南允许的基础原生食材类别
33,奶油奶酪,120,烘焙或乳制加工食品
34,吐司,118,烘焙或乳制加工食品
35,面包糠,117,烘焙或乳制加工食品
36,马苏里拉奶酪,117,烘焙或乳制加工食品
37,椰蓉,115,不属于指南允许的基础原生食材类别
38,奥利奥饼干,115,烘焙或乳制加工食品
39,泡椒,109,成品、半成品或加工食品
40,肉松,107,加工肉制品
41,面条,107,成品、半成品或加工食品
42,粉丝,107,豆制品或淀粉制品（严格模式排除）
43,红茶,107,饮料、酒类或乳制品不属于本版核心原生食材
44,米粉,104,成品、半成品或加工食品
45,戚风蛋糕,99,烘焙或乳制加工食品
46,红曲粉,98,不属于指南允许的基础原生食材类别
47,腊肠,96,成品、半成品或加工食品
48,巧克力豆,94,烘焙或乳制加工食品
