id,name,usage_count,reason
1,干辣椒,455,调味料不进入基础原生食材表
2,啤酒,122,调味料不进入基础原生食材表
3,迷迭香,104,调味料不进入基础原生食材表
4,红酒,98,调味料不进入基础原生食材表
5,百里香,95,调味料不进入基础原生食材表
6,白葡萄酒,88,调味料不进入基础原生食材表
7,肉桂粉,81,调味料不进入基础原生食材表
8,麻椒,78,调味料不进入基础原生食材表
9,薄荷叶,67,调味料不进入基础原生食材表
10,玫瑰,42,调味料不进入基础原生食材表
11,黑椒,41,调味料不进入基础原生食材表
12,桂花,40,调味料不进入基础原生食材表
13,肉桂,39,调味料不进入基础原生食材表
14,藤椒,35,调味料不进入基础原生食材表
15,干桂花,32,调味料不进入基础原生食材表
16,干红椒,32,调味料不进入基础原生食材表
17,玫瑰花瓣,31,调味料不进入基础原生食材表
18,老酒,28,调味料不进入基础原生食材表
19,葡萄酒,28,调味料不进入基础原生食材表
20,黑椒粉,26,调味料不进入基础原生食材表
21,红油辣椒,26,调味料不进入基础原生食材表
22,烧酒,26,调味料不进入基础原生食材表
23,豆蔻,26,调味料不进入基础原生食材表
24,百利甜酒,25,调味料不进入基础原生食材表
25,干玫瑰,24,调味料不进入基础原生食材表
26,甜酒,23,调味料不进入基础原生食材表
27,油辣椒,23,调味料不进入基础原生食材表
28,干罗勒,23,调味料不进入基础原生食材表
29,肉蔻,22,调味料不进入基础原生食材表
30,干欧芹,22,调味料不进入基础原生食材表
31,香茅,20,调味料不进入基础原生食材表
32,川贝,20,调味料不进入基础原生食材表
33,荷叶,20,调味料不进入基础原生食材表
34,桂花蜜,19,调味料不进入基础原生食材表
35,肉豆蔻,19,调味料不进入基础原生食材表
36,肉豆蔻粉,19,调味料不进入基础原生食材表
37,红干辣椒,19,调味料不进入基础原生食材表
38,新鲜迷迭香,18,调味料不进入基础原生食材表
39,咖啡酒,18,调味料不进入基础原生食材表
40,红葡萄酒,17,调味料不进入基础原生食材表
41,高粱酒,17,调味料不进入基础原生食材表
42,干百里香,17,调味料不进入基础原生食材表
43,新鲜薄荷叶,16,调味料不进入基础原生食材表
44,玫瑰露酒,16,调味料不进入基础原生食材表
45,麻椒粉,15,调味料不进入基础原生食材表
46,红油豆瓣,15,调味料不进入基础原生食材表
47,葱姜蒜干辣椒,14,调味料不进入基础原生食材表
48,新鲜百里香,14,调味料不进入基础原生食材表
49,绍酒,14,调味料不进入基础原生食材表
50,力娇酒,14,调味料不进入基础原生食材表
51,利口酒,13,调味料不进入基础原生食材表
52,果酒,13,调味料不进入基础原生食材表
53,桂花鱼,12,调味料不进入基础原生食材表
54,绍兴酒,12,调味料不进入基础原生食材表
55,香茅草,11,调味料不进入基础原生食材表
56,肉桂棒,11,调味料不进入基础原生食材表
57,干迷迭香,11,调味料不进入基础原生食材表
58,玫瑰花茶,10,调味料不进入基础原生食材表
59,口味干辣椒,10,调味料不进入基础原生食材表
60,干白葡萄酒,10,调味料不进入基础原生食材表
61,干红葡萄酒,10,调味料不进入基础原生食材表
62,红油辣子,10,调味料不进入基础原生食材表
63,樱桃酒,10,调味料不进入基础原生食材表
64,豆蔻粉,10,调味料不进入基础原生食材表
65,鲜薄荷叶,10,调味料不进入基础原生食材表
66,金酒,10,调味料不进入基础原生食材表
67,川贝粉,10,调味料不进入基础原生食材表
68,料理酒,10,调味料不进入基础原生食材表
69,黑椒牛肉,10,调味料不进入基础原生食材表
70,干荷叶,9,调味料不进入基础原生食材表
71,玫瑰花干,9,调味料不进入基础原生食材表
72,熟油辣椒,9,调味料不进入基础原生食材表
73,咖啡力娇酒,9,调味料不进入基础原生食材表
74,干玫瑰花瓣,9,调味料不进入基础原生食材表
75,梅子酒,9,调味料不进入基础原生食材表
76,茶匙肉桂粉,9,调味料不进入基础原生食材表
77,味利口酒,9,调味料不进入基础原生食材表
78,君度橙酒,9,调味料不进入基础原生食材表
79,自己口味干辣椒,9,调味料不进入基础原生食材表
80,苹果酒,8,调味料不进入基础原生食材表
81,桂花干,8,调味料不进入基础原生食材表
82,青麻椒,8,调味料不进入基础原生食材表
83,易拉罐啤酒,8,调味料不进入基础原生食材表
84,新鲜桂花,8,调味料不进入基础原生食材表
85,利甜酒,8,调味料不进入基础原生食材表
86,玫瑰水,8,调味料不进入基础原生食材表
87,日本酒,8,调味料不进入基础原生食材表
88,辣干辣椒,8,调味料不进入基础原生食材表
89,福建老酒,7,调味料不进入基础原生食材表
90,九江双蒸酒,7,调味料不进入基础原生食材表
91,支新鲜迷迭香,7,调味料不进入基础原生食材表
92,二荆条干辣椒,7,调味料不进入基础原生食材表
93,肉蔻粉,7,调味料不进入基础原生食材表
94,桂花酒酿,7,调味料不进入基础原生食材表
95,青梅酒,7,调味料不进入基础原生食材表
