id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason
1,葱,core_raw,1,蔬菜,葱蒜,1,1,verified,3206,核心原生食材
2,蒜,core_raw,2,蔬菜,葱蒜,1,1,verified,3916,核心原生食材
3,姜,core_raw,3,蔬菜,根茎,1,1,verified,3563,核心原生食材
4,猪肉,core_raw,4,畜肉,猪,1,1,verified,634,核心原生食材
5,洋葱,core_raw,5,蔬菜,葱蒜,1,1,verified,719,核心原生食材
6,胡萝卜,core_raw,6,蔬菜,根茎,1,1,verified,971,核心原生食材
7,鸡蛋,core_raw,7,蛋类,鸡蛋,1,1,verified,1390,核心原生食材
8,牛肉,core_raw,8,畜肉,牛,1,1,verified,339,核心原生食材
9,香菜,core_raw,9,蔬菜,叶菜,1,1,verified,512,核心原生食材
10,五花肉,core_raw,10,畜肉,猪,1,1,verified,479,核心原生食材
11,青椒,core_raw,11,蔬菜,瓜果,1,1,verified,1054,核心原生食材
12,土豆,core_raw,12,薯芋,薯类,1,1,verified,759,核心原生食材
13,玉米,core_raw,13,谷物/坚果,玉米,1,1,verified,88,核心原生食材
14,番茄,core_raw,14,蔬菜,瓜果,1,1,verified,649,核心原生食材
15,鸡胸肉,core_raw,15,禽肉,鸡,1,1,verified,233,核心原生食材
16,花生,core_raw,16,谷物/坚果,坚果种子,1,1,verified,95,核心原生食材
17,辣椒,core_raw,17,蔬菜,瓜果,1,1,verified,257,核心原生食材
18,小米椒,core_raw,18,蔬菜,瓜果,1,1,verified,311,核心原生食材
19,黄瓜,core_raw,19,蔬菜,瓜果,1,1,verified,293,核心原生食材
20,大米,core_raw,20,谷物/坚果,稻米,1,1,verified,87,核心原生食材
21,红枣,core_raw,21,水果,核果,1,1,verified,105,核心原生食材
22,柠檬,core_raw,22,水果,柑橘,1,1,verified,72,核心原生食材
23,香菇,core_raw,23,菌菇藻类,菌菇,1,1,verified,452,核心原生食材
24,鸡肉,core_raw,24,禽肉,鸡,1,1,verified,199,核心原生食材
25,杏仁,core_raw,25,谷物/坚果,坚果种子,1,1,verified,4,核心原生食材
26,芝麻,core_raw,26,谷物/坚果,坚果种子,1,1,verified,72,核心原生食材
27,芹菜,core_raw,27,蔬菜,根茎,1,1,verified,232,核心原生食材
28,红薯,core_raw,28,薯芋,薯类,1,1,verified,29,核心原生食材
29,白菜,core_raw,29,蔬菜,叶菜,1,1,verified,238,核心原生食材
30,南瓜,core_raw,30,蔬菜,瓜果,1,1,verified,84,核心原生食材
31,生菜,core_raw,31,蔬菜,叶菜,1,1,verified,65,核心原生食材
32,排骨,core_raw,32,畜肉,猪,1,1,verified,23,核心原生食材
33,木耳,core_raw,33,菌菇藻类,菌菇,1,1,verified,364,核心原生食材
34,燕麦,core_raw,34,谷物/坚果,小麦,1,1,verified,7,核心原生食材
35,黑芝麻,core_raw,35,谷物/坚果,坚果种子,1,1,verified,11,核心原生食材
36,白芝麻,core_raw,36,谷物/坚果,坚果种子,1,1,verified,105,核心原生食材
37,猪里脊,core_raw,37,畜肉,猪,1,1,verified,102,核心原生食材
38,核桃,core_raw,38,谷物/坚果,坚果种子,1,1,verified,7,核心原生食材
39,圣女果,core_raw,39,蔬菜,其他蔬菜,1,1,verified,8,核心原生食材
40,菠菜,core_raw,40,蔬菜,叶菜,1,1,verified,82,核心原生食材
41,虾仁,core_raw,41,水产,虾,1,1,verified,215,核心原生食材
42,芒果,core_raw,42,水果,热带水果,1,1,verified,6,核心原生食材
