alias_name,catalog_ingredient_id,canonical_name,usage_count,source
.-虾,591,.-虾,1,dish_ingredients.raw_name
.作撒料香菜,592,.作撒料香菜,1,dish_ingredients.raw_name
.你们根据爱好放鸡蛋,593,.你们根据爱好放鸡蛋,1,dish_ingredients.raw_name
.意大利面,594,.意大利面,1,dish_ingredients.raw_name
.放你开心就好不重要白芝麻,595,.放你开心就好不重要白芝麻,1,dish_ingredients.raw_name
.根据个人喜好冰糖,596,.根据个人喜好冰糖,1,dish_ingredients.raw_name
.清水,597,.清水,1,dish_ingredients.raw_name
.色拉油,598,.色拉油,1,dish_ingredients.raw_name
.菲力牛排,290,菲力牛排,1,dish_ingredients.raw_name
.速食汤,599,.速食汤,1,dish_ingredients.raw_name
.量杯小米,600,.量杯小米,1,dish_ingredients.raw_name
.陈醋,601,.陈醋,1,dish_ingredients.raw_name
.鸡蛋,7,鸡蛋,1,dish_ingredients.raw_name
/,602,/,4,dish_ingredients.raw_name
/.我买是鸡腿肉鸡,603,/.我买是鸡腿肉鸡,1,dish_ingredients.raw_name
/一勺鸡精/鸡汁,604,/一勺鸡精/鸡汁,1,dish_ingredients.raw_name
/一味蒜蓉酱,605,/一味蒜蓉酱,1,dish_ingredients.raw_name
/一小撮盐,606,/一小撮盐,1,dish_ingredients.raw_name
/一盒五花肉,10,五花肉,1,dish_ingredients.raw_name
/七两娃娃菜/豆苗,607,/七两娃娃菜/豆苗,1,dish_ingredients.raw_name
/三色藜麦糙米,608,/三色藜麦糙米,1,dish_ingredients.raw_name
/不吃辣可不放干辣椒/新鲜小米辣,609,/不吃辣可不放干辣椒/新鲜小米辣,1,dish_ingredients.raw_name
/乌江榨菜丝,610,/乌江榨菜丝,1,dish_ingredients.raw_name
/五香粉,611,/五香粉,2,dish_ingredients.raw_name
/京葱,1,葱,1,dish_ingredients.raw_name
/倭瓜,541,倭瓜,1,dish_ingredients.raw_name
/八角,612,/八角,1,dish_ingredients.raw_name
/公鸡,613,/公鸡,1,dish_ingredients.raw_name
/冬笋,184,冬笋,1,dish_ingredients.raw_name
/冷鲜鸡,614,/冷鲜鸡,1,dish_ingredients.raw_name
/分成小朵西蓝花,615,/分成小朵西蓝花,1,dish_ingredients.raw_name
/剁椒,616,/剁椒,1,dish_ingredients.raw_name
/包菜,76,卷心菜,5,dish_ingredients.raw_name
/十三香,617,/十三香,2,dish_ingredients.raw_name
/南乳,618,/南乳,1,dish_ingredients.raw_name
/卷心菜,76,卷心菜,2,dish_ingredients.raw_name
/味精,619,/味精,2,dish_ingredients.raw_name
/哈密瓜,240,哈密瓜,1,dish_ingredients.raw_name
/啤酒,620,/啤酒,6,dish_ingredients.raw_name
/圆椒,621,/圆椒,1,dish_ingredients.raw_name
/圆白菜,76,卷心菜,2,dish_ingredients.raw_name
/土豆,12,土豆,1,dish_ingredients.raw_name
/大土豆,622,/大土豆,1,dish_ingredients.raw_name
/大白菜,158,大白菜,1,dish_ingredients.raw_name
/大米,20,大米,3,dish_ingredients.raw_name
/大葱,1,葱,11,dish_ingredients.raw_name
/大蒜,2,蒜,3,dish_ingredients.raw_name
/大虾,234,大虾,1,dish_ingredients.raw_name
/大豆奶油,623,/大豆奶油,1,dish_ingredients.raw_name
/大黄米,398,大黄米,1,dish_ingredients.raw_name
/姜,3,姜,1,dish_ingredients.raw_name
/娃娃菜,70,娃娃菜,1,dish_ingredients.raw_name
/嫩豆腐,624,/嫩豆腐,1,dish_ingredients.raw_name
/孜然,625,/孜然,1,dish_ingredients.raw_name
/宝宝咖喱,626,/宝宝咖喱,1,dish_ingredients.raw_name
/小南瓜,375,小南瓜,1,dish_ingredients.raw_name
/小米,127,小米,1,dish_ingredients.raw_name
/小苏打,627,/小苏打,2,dish_ingredients.raw_name
/小苏打粉,628,/小苏打粉,1,dish_ingredients.raw_name
/小茴香,629,/小茴香,1,dish_ingredients.raw_name
/小葱,1,葱,2,dish_ingredients.raw_name
/山药,85,山药,1,dish_ingredients.raw_name
/巴沙鱼,178,巴沙鱼,1,dish_ingredients.raw_name
/干百里香,630,/干百里香,1,dish_ingredients.raw_name
/干百里香碎,631,/干百里香碎,1,dish_ingredients.raw_name
/干辣椒粉,632,/干辣椒粉,1,dish_ingredients.raw_name
/干银耳,633,/干银耳,1,dish_ingredients.raw_name
/康乐醋,634,/康乐醋,1,dish_ingredients.raw_name
/彩椒,74,彩椒,2,dish_ingredients.raw_name
/挂面,635,/挂面,1,dish_ingredients.raw_name
/料酒,636,/料酒,9,dish_ingredients.raw_name
/日式高汤粉,637,/日式高汤粉,1,dish_ingredients.raw_name
/普通面粉,638,/普通面粉,1,dish_ingredients.raw_name
/李锦记黑椒酱,639,/李锦记黑椒酱,1,dish_ingredients.raw_name
/杏鲍菇,83,杏鲍菇,2,dish_ingredients.raw_name
/柠檬,22,柠檬,3,dish_ingredients.raw_name
/根青瓜,19,黄瓜,1,dish_ingredients.raw_name
/榨菜,640,/榨菜,1,dish_ingredients.raw_name
/橙子皮,641,/橙子皮,1,dish_ingredients.raw_name
/水,642,/水,2,dish_ingredients.raw_name
/沙葛/白薯,643,/沙葛/白薯,1,dish_ingredients.raw_name
/油,644,/油,1,dish_ingredients.raw_name
/泡椒,645,/泡椒,1,dish_ingredients.raw_name
/洋葱,5,洋葱,68,dish_ingredients.raw_name
/浓汤宝,646,/浓汤宝,1,dish_ingredients.raw_name
/浓缩鸡汁,647,/浓缩鸡汁,1,dish_ingredients.raw_name
/海底捞牛油火锅底料,648,/海底捞牛油火锅底料,1,dish_ingredients.raw_name
/淀粉,649,/淀粉,3,dish_ingredients.raw_name
/淀粉水,650,/淀粉水,1,dish_ingredients.raw_name
/火锅底料,651,/火锅底料,3,dish_ingredients.raw_name
/火龙果,100,火龙果,2,dish_ingredients.raw_name
/煲仔酱,652,/煲仔酱,1,dish_ingredients.raw_name
/片/瓣葱姜蒜,653,/片/瓣葱姜蒜,1,dish_ingredients.raw_name
/牛肉粉,654,/牛肉粉,1,dish_ingredients.raw_name
/独头蒜,2,蒜,1,dish_ingredients.raw_name
/独蒜蒜,655,/独蒜蒜,1,dish_ingredients.raw_name
/玉米,13,玉米,3,dish_ingredients.raw_name
/甜玉米,97,甜玉米,1,dish_ingredients.raw_name
/生姜,3,姜,3,dish_ingredients.raw_name
/生姜泥,656,/生姜泥,1,dish_ingredients.raw_name
/生姜片,3,姜,1,dish_ingredients.raw_name
/生抽,657,/生抽,11,dish_ingredients.raw_name
/生粉,658,/生粉,1,dish_ingredients.raw_name
/白洋葱,5,洋葱,3,dish_ingredients.raw_name
/白砂糖,659,/白砂糖,3,dish_ingredients.raw_name
/白糖,660,/白糖,14,dish_ingredients.raw_name
/白胡椒,661,/白胡椒,2,dish_ingredients.raw_name
/白胡椒粉,662,/白胡椒粉,7,dish_ingredients.raw_name
/白菜,29,白菜,2,dish_ingredients.raw_name
/白酒,663,/白酒,1,dish_ingredients.raw_name
/盐,664,/盐,59,dish_ingredients.raw_name
/盒装血豆腐,665,/盒装血豆腐,1,dish_ingredients.raw_name
/砂糖,666,/砂糖,1,dish_ingredients.raw_name
/米醋,667,/米醋,1,dish_ingredients.raw_name
/精盐,668,/精盐,1,dish_ingredients.raw_name
/糖,669,/糖,30,dish_ingredients.raw_name
/紫洋葱,5,洋葱,1,dish_ingredients.raw_name
/紫甘蓝,99,紫甘蓝,1,dish_ingredients.raw_name
/红尖椒,181,红尖椒,1,dish_ingredients.raw_name
/红椒,49,红椒,3,dish_ingredients.raw_name
/红椒粉,670,/红椒粉,1,dish_ingredients.raw_name
/红烧酱油,671,/红烧酱油,1,dish_ingredients.raw_name
/红糖,672,/红糖,1,dish_ingredients.raw_name
/红菜椒,673,/红菜椒,1,dish_ingredients.raw_name
/红萝卜,6,胡萝卜,1,dish_ingredients.raw_name
/红辣椒,50,红辣椒,2,dish_ingredients.raw_name
/细砂糖,674,/细砂糖,1,dish_ingredients.raw_name
/老抽,675,/老抽,24,dish_ingredients.raw_name
/老鸡,676,/老鸡,1,dish_ingredients.raw_name
/耗油,677,/耗油,2,dish_ingredients.raw_name
/肉豆蔻粉,678,/肉豆蔻粉,1,dish_ingredients.raw_name
/肥牛,66,肥牛,1,dish_ingredients.raw_name
/胡桃,587,胡桃,1,dish_ingredients.raw_name
/胡椒粉,679,/胡椒粉,4,dish_ingredients.raw_name
/胡萝卜,6,胡萝卜,41,dish_ingredients.raw_name
/胡萝卜🥕,680,/胡萝卜🥕,1,dish_ingredients.raw_name
/胡蘿蔔,681,/胡蘿蔔,1,dish_ingredients.raw_name
/腊鸭,682,/腊鸭,1,dish_ingredients.raw_name
/自制熟油海椒,683,/自制熟油海椒,1,dish_ingredients.raw_name
/芋头,73,芋头,1,dish_ingredients.raw_name
/花椒,684,/花椒,2,dish_ingredients.raw_name
/花椒油,685,/花椒油,3,dish_ingredients.raw_name
/花椒粉,686,/花椒粉,2,dish_ingredients.raw_name
/花菜,130,花菜,3,dish_ingredients.raw_name
/花雕,687,/花雕,1,dish_ingredients.raw_name
/茄子,110,茄子,1,dish_ingredients.raw_name
/莲花白,688,/莲花白,1,dish_ingredients.raw_name
/莴笋,145,莴笋,1,dish_ingredients.raw_name
/菠萝,67,菠萝,2,dish_ingredients.raw_name
/萝卜,59,萝卜,2,dish_ingredients.raw_name
/葫芦卜,689,/葫芦卜,1,dish_ingredients.raw_name
