ingredient_id,effect_id
1,38
1,44
1,71
1,196
1,206
1,210
1,265
1,347
1,362
1,433
1,446
1,455
1,498
1,525
1,534
1,556
1,567
1,644
1,682
2,44
2,210
2,262
2,265
2,455
2,525
2,567
2,644
3,3
3,38
3,44
3,80
3,196
3,206
3,210
3,262
3,265
3,455
3,465
3,525
3,529
3,534
3,556
3,559
3,567
3,633
3,644
3,682
4,210
4,286
4,390
4,399
4,523
4,525
4,529
4,567
4,596
6,44
6,80
6,455
6,465
6,559
7,170
7,347
7,362
7,368
7,398
7,403
7,433
7,690
8,39
8,187
8,429
8,530
8,571
9,44
9,67
9,71
9,210
9,214
9,262
9,315
9,347
9,362
9,433
9,446
9,455
9,498
10,181
10,210
10,411
10,443
10,525
10,567
11,126
11,210
11,525
11,567
11,669
12,46
12,524
14,44
14,455
15,261
15,525
16,193
16,237
16,238
17,71
17,136
17,210
17,310
17,347
17,362
17,406
17,433
17,446
17,498
17,615
17,618
18,210
18,265
18,525
18,567
18,644
19,71
19,126
19,136
19,210
19,257
19,310
19,368
19,446
19,498
19,618
19,669
20,37
20,157
20,275
20,284
20,579
21,94
21,272
21,322
21,372
21,531
21,532
21,590
21,630
23,44
23,347
23,362
23,433
23,453
23,455
23,601
24,42
24,92
24,110
24,223
24,499
24,536
24,552
24,571
24,624
25,192
25,332
25,336
25,441
26,210
26,525
26,567
29,126
29,206
29,556
29,625
29,626
29,669
30,332
30,336
32,265
32,297
32,360
32,391
32,410
32,498
32,644
33,23
33,197
33,272
33,288
33,311
33,322
33,347
33,362
33,398
33,433
33,531
35,44
35,455
36,265
36,644
37,534
38,193
38,237
38,238
38,491
38,575
41,177
41,383
41,460
41,497
41,507
41,568
41,597
48,140
48,410
48,452
48,561
48,572
49,210
49,525
49,567
52,72
52,174
52,212
52,432
57,12
57,44
57,47
57,112
57,234
57,264
57,366
57,375
57,403
57,409
57,455
57,468
57,471
57,476
57,522
57,570
57,579
57,650
57,652
57,678
57,684
58,4
58,45
58,93
58,242
58,262
58,263
58,382
58,403
58,468
58,511
58,525
58,568
58,584
58,598
59,8
59,112
59,152
59,178
59,222
59,264
59,574
59,650
59,684
64,86
64,588
65,54
65,286
65,457
65,596
68,112
68,264
68,650
68,684
71,246
71,552
72,33
72,85
72,573
76,126
76,669
77,166
77,480
77,552
77,585
78,328
78,409
78,491
78,575
79,199
79,487
80,210
80,525
80,567
81,31
81,162
81,199
81,350
81,677
83,44
83,455
85,42
85,276
85,391
85,410
85,436
85,498
85,532
85,552
87,38
87,196
87,208
87,347
87,362
87,433
87,682
92,136
92,310
92,618
94,14
94,46
94,297
94,360
96,166
96,552
101,36
101,123
101,549
101,593
107,38
107,189
107,413
107,482
107,548
108,112
108,192
108,264
108,441
108,650
108,684
115,210
115,525
115,567
116,242
116,511
116,525
122,38
122,43
122,189
122,413
122,552
126,44
126,278
126,286
126,287
126,455
126,512
126,595
131,38
131,120
131,210
131,368
133,44
133,455
136,126
136,669
138,14
138,31
138,46
138,169
138,657
139,473
139,488
145,23
145,126
145,669
146,92
146,94
146,123
146,188
146,282
146,409
146,459
146,499
146,548
146,549
146,579
146,586
146,590
153,36
153,455
170,372
170,630
171,23
171,31
171,74
171,80
171,257
171,465
171,559
171,605
183,174
183,212
184,110
184,168
189,259
189,393
189,571
190,193
190,237
190,238
202,129
202,365
204,38
204,196
204,208
204,682
208,453
208,601
212,188
212,548
215,38
215,120
215,210
215,225
215,348
215,368
215,581
217,388
217,541
226,472
226,532
226,548
229,99
229,186
229,286
229,330
229,338
229,340
229,345
229,364
229,374
229,478
229,507
234,385
254,155
254,660
260,265
260,644
269,625
269,626
271,3
271,633
275,524
275,597
279,387
279,605
279,691
282,357
282,541
289,220
289,586
289,613
294,211
294,236
294,240
294,595
302,286
302,596
321,41
321,52
321,197
321,288
321,311
321,383
321,398
321,450
321,458
321,485
321,602
321,659
324,3
324,119
324,400
324,633
325,21
325,247
325,332
325,385
325,411
325,431
325,469
325,475
325,566
325,594
325,614
328,126
328,635
337,398
339,265
339,644
346,12
346,225
346,581
346,652
348,344
354,556
368,7
368,74
368,189
368,257
368,381
368,452
368,600
382,550
385,411
385,431
390,70
390,552
391,547
397,185
397,597
421,50
421,321
421,542
421,603
423,53
425,178
425,222
425,574
440,286
440,596
442,355
442,377
442,438
442,556
442,609
445,336
445,562
450,86
450,186
450,364
450,473
450,488
450,588
498,358
509,359
509,692
532,429
532,547
533,525
533,552
537,347
537,362
537,433
546,175
546,574
562,386
562,445
562,493
