ingredient_id,group_id,is_suitable,evidence_source,evidence_text
1,9,1,source_ingredient_groups,原始结构化适宜人群关系
1,14,1,source_ingredient_groups,原始结构化适宜人群关系
1,18,1,source_ingredient_groups,原始结构化适宜人群关系
1,27,1,source_ingredient_groups,原始结构化适宜人群关系
1,34,1,source_ingredient_groups,原始结构化适宜人群关系
1,35,1,source_ingredient_groups,原始结构化适宜人群关系
1,38,1,source_ingredient_groups,原始结构化适宜人群关系
1,39,1,source_ingredient_groups,原始结构化适宜人群关系
1,46,1,source_ingredient_groups,原始结构化适宜人群关系
1,47,1,source_ingredient_groups,原始结构化适宜人群关系
1,57,1,source_ingredient_groups,原始结构化适宜人群关系
1,59,1,source_ingredient_groups,原始结构化适宜人群关系
1,62,1,source_ingredient_groups,原始结构化适宜人群关系
1,65,1,source_ingredient_groups,原始结构化适宜人群关系
1,66,1,source_ingredient_groups,原始结构化适宜人群关系
1,76,1,source_ingredient_groups,原始结构化适宜人群关系
2,9,1,source_ingredient_groups,原始结构化适宜人群关系
2,14,1,source_ingredient_groups,原始结构化适宜人群关系
2,18,1,source_ingredient_groups,原始结构化适宜人群关系
2,27,1,source_ingredient_groups,原始结构化适宜人群关系
2,34,1,source_ingredient_groups,原始结构化适宜人群关系
2,35,1,source_ingredient_groups,原始结构化适宜人群关系
2,38,1,source_ingredient_groups,原始结构化适宜人群关系
2,39,1,source_ingredient_groups,原始结构化适宜人群关系
2,46,1,source_ingredient_groups,原始结构化适宜人群关系
2,47,1,source_ingredient_groups,原始结构化适宜人群关系
2,62,1,source_ingredient_groups,原始结构化适宜人群关系
2,65,1,source_ingredient_groups,原始结构化适宜人群关系
2,66,1,source_ingredient_groups,原始结构化适宜人群关系
2,76,1,source_ingredient_groups,原始结构化适宜人群关系
3,9,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,14,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,18,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,27,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,34,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,35,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,38,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,39,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,46,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,47,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,62,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,65,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,66,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,76,1,source_ingredient_groups,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。
3,77,0,tcm_not_user,阴虚内热及邪热亢盛者忌食
4,14,1,source_ingredient_groups,原始结构化适宜人群关系
4,18,1,source_ingredient_groups,原始结构化适宜人群关系
4,34,1,source_ingredient_groups,原始结构化适宜人群关系
4,35,1,source_ingredient_groups,原始结构化适宜人群关系
4,38,1,source_ingredient_groups,原始结构化适宜人群关系
4,47,1,source_ingredient_groups,原始结构化适宜人群关系
4,62,1,source_ingredient_groups,原始结构化适宜人群关系
4,65,1,source_ingredient_groups,原始结构化适宜人群关系
4,76,1,source_ingredient_groups,原始结构化适宜人群关系
5,14,1,source_ingredient_groups,原始结构化适宜人群关系
5,18,1,source_ingredient_groups,原始结构化适宜人群关系
5,34,1,source_ingredient_groups,原始结构化适宜人群关系
5,35,1,source_ingredient_groups,原始结构化适宜人群关系
5,38,1,source_ingredient_groups,原始结构化适宜人群关系
5,47,1,source_ingredient_groups,原始结构化适宜人群关系
5,57,1,source_ingredient_groups,原始结构化适宜人群关系
5,59,1,source_ingredient_groups,原始结构化适宜人群关系
5,62,1,source_ingredient_groups,原始结构化适宜人群关系
5,63,1,source_ingredient_groups,原始结构化适宜人群关系
5,65,1,source_ingredient_groups,原始结构化适宜人群关系
5,76,1,source_ingredient_groups,原始结构化适宜人群关系
