old_id,old_name,action,new_id,new_name,reason
1,葱,KEEP,1,葱,符合基础原生食材定义
2,蒜,KEEP,2,蒜,符合基础原生食材定义
3,姜,KEEP,3,姜,符合基础原生食材定义
4,牛奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
5,猪肉,KEEP,4,猪肉,符合基础原生食材定义
6,洋葱,KEEP,5,洋葱,符合基础原生食材定义
7,胡萝卜,KEEP,6,胡萝卜,符合基础原生食材定义
8,干辣椒,DROP,,,调味料不进入基础原生食材表
9,鸡蛋,KEEP,7,鸡蛋,符合基础原生食材定义
10,牛肉,KEEP,8,牛肉,符合基础原生食材定义
11,香菜,KEEP,9,香菜,符合基础原生食材定义
12,五花肉,KEEP,10,五花肉,符合基础原生食材定义
13,芝士,DROP,,,烘焙或乳制加工食品
14,淀粉,DROP,,,成品、半成品或加工食品
15,青椒,KEEP,11,青椒,符合基础原生食材定义
16,土豆,KEEP,12,土豆,符合基础原生食材定义
17,玉米,KEEP,13,玉米,符合基础原生食材定义
18,番茄,KEEP,14,番茄,符合基础原生食材定义
19,火腿,DROP,,,加工肉制品
20,鸡胸肉,KEEP,15,鸡胸肉,符合基础原生食材定义
21,面粉,DROP,,,成品、半成品或加工食品
22,花生,KEEP,16,花生,符合基础原生食材定义
23,辣椒,KEEP,17,辣椒,符合基础原生食材定义
24,低筋面粉,DROP,,,成品、半成品或加工食品
25,小米椒,KEEP,18,小米椒,符合基础原生食材定义
26,中筋面粉,DROP,,,成品、半成品或加工食品
27,椰浆,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
28,黄瓜,KEEP,19,黄瓜,符合基础原生食材定义
29,鸡腿肉,MERGE,582,鸡腿,明确别名或规范名统一
30,培根,DROP,,,加工肉制品
31,大米,KEEP,20,大米,符合基础原生食材定义
32,红枣,KEEP,21,红枣,符合基础原生食材定义
33,酸奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
34,葡萄干,DROP,,,成品、半成品或加工食品
35,柠檬,KEEP,22,柠檬,符合基础原生食材定义
36,香菇,KEEP,23,香菇,符合基础原生食材定义
37,可可粉,DROP,,,成品、半成品或加工食品
38,鸡肉,KEEP,24,鸡肉,符合基础原生食材定义
39,巧克力,DROP,,,烘焙或乳制加工食品
40,杏仁,KEEP,25,杏仁,符合基础原生食材定义
41,芝麻,KEEP,26,芝麻,符合基础原生食材定义
42,意大利面,DROP,,,成品、半成品或加工食品
43,高筋面粉,DROP,,,成品、半成品或加工食品
44,芹菜,KEEP,27,芹菜,符合基础原生食材定义
45,香肠,DROP,,,加工肉制品
46,红薯,KEEP,28,红薯,符合基础原生食材定义
47,马苏里拉芝士,DROP,,,烘焙或乳制加工食品
48,白菜,KEEP,29,白菜,符合基础原生食材定义
49,生菜,KEEP,31,生菜,符合基础原生食材定义
50,南瓜,KEEP,30,南瓜,符合基础原生食材定义
51,全麦面粉,DROP,,,成品、半成品或加工食品
52,抹茶粉,DROP,,,成品、半成品或加工食品
53,坚果,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
54,排骨,KEEP,32,排骨,符合基础原生食材定义
55,黑芝麻,KEEP,35,黑芝麻,符合基础原生食材定义
56,木耳,KEEP,33,木耳,符合基础原生食材定义
57,燕麦,KEEP,34,燕麦,符合基础原生食材定义
58,白芝麻,KEEP,36,白芝麻,符合基础原生食材定义
59,猪里脊,KEEP,37,猪里脊,符合基础原生食材定义
60,海苔,DROP,,,成品、半成品或加工食品
61,核桃,KEEP,38,核桃,符合基础原生食材定义
62,圣女果,KEEP,39,圣女果,符合基础原生食材定义
63,葱姜蒜,SPLIT,1|3|2,葱|姜|蒜,明确包含多个独立食材；关系保守保留原文，克数不拆分
64,菠菜,KEEP,40,菠菜,符合基础原生食材定义
65,青菜,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
66,炼乳,DROP,,,烘焙或乳制加工食品
67,奶粉,DROP,,,烘焙或乳制加工食品
68,虾仁,KEEP,41,虾仁,符合基础原生食材定义
69,草莓,KEEP,43,草莓,符合基础原生食材定义
70,芒果,KEEP,42,芒果,符合基础原生食材定义
71,火腿肠,DROP,,,加工肉制品
72,米饭,DROP,,,成品、半成品或加工食品
73,红薯粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
74,油菜,KEEP,44,油菜,符合基础原生食材定义
75,金针菇,KEEP,46,金针菇,符合基础原生食材定义
76,蔓越莓,KEEP,45,蔓越莓,符合基础原生食材定义
77,豆腐,DROP,,,豆制品或淀粉制品（严格模式排除）
78,紫薯,KEEP,47,紫薯,符合基础原生食材定义
79,糯米粉,DROP,,,成品、半成品或加工食品
80,韭菜,KEEP,48,韭菜,符合基础原生食材定义
81,面包,DROP,,,烘焙或乳制加工食品
82,红椒,KEEP,49,红椒,符合基础原生食材定义
83,红辣椒,KEEP,50,红辣椒,符合基础原生食材定义
