old_id,name,usage_count,category_major,possible_candidates,sample_raw_text,sample_dish_ids,reason
53,坚果,171,坚果种子类,,若干克坚果 || 30克坚果 || 坚果,269|755|884,名称过于宽泛或形态含义不明确，禁止猜测映射
63,葱姜蒜,163,蔬菜类及其制品,葱|姜|蒜,少许葱姜蒜 || 若干葱姜蒜 || 姜蒜适量,13|49|385,明确包含多个独立食材；关系保守保留原文，克数不拆分
65,青菜,157,蔬菜类及其制品,,100克青菜 || 20克青菜 || 几根青菜,738|859|898,名称过于宽泛或形态含义不明确，禁止猜测映射
73,红薯粉,144,薯类淀粉及其制品,,一小勺红薯粉 || 400克红薯粉 || 适量红薯粉,32|944|1088|2832,可能是原生食材，但频次、命名或类别证据不足
105,蘑菇,114,菌藻类,,适量蘑菇 || 蘑菇 || 3个蘑菇,174|220|714,名称过于宽泛或形态含义不明确，禁止猜测映射
123,鸡汤,98,禽肉类及其制品,,少许鸡汤 || 150g鸡汤 || 鸡汤,997|1445|2022,可能是原生食材，但频次、命名或类别证据不足
125,葱姜,97,蔬菜类及其制品,葱|姜,葱姜 || 适量葱姜 || 少许葱姜,170|178|1252|1339|1444|1586|1658|1942,明确包含多个独立食材；关系保守保留原文，克数不拆分
126,玉米面,96,谷类及其制品,,71克玉米面 || 100克玉米面 || 80克玉米面,226|580|584,可能是原生食材，但频次、命名或类别证据不足
152,香草,83,蔬菜类及其制品,,数滴香草 || 2滴香草 || 一小撮香草（欧芹or百里香 ）,3987|4021|4381,名称过于宽泛或形态含义不明确，禁止猜测映射
157,木薯粉,81,薯类淀粉及其制品,,适量木薯粉 || 90g木薯粉 || 90克木薯粉,911|945|1126,可能是原生食材，但频次、命名或类别证据不足
163,挂面,79,谷类及其制品,,适量挂面 || 挂面 || 挂面（扁的）,651|1686|2156|2609|3789,可能是原生食材，但频次、命名或类别证据不足
177,蔬菜,73,蔬菜类及其制品,,1小把蔬菜（小白菜，苦菊） || 适量蔬菜 || 一人份蔬菜（青菜、菠菜、小白菜等叶子菜）,474|1457|3436,名称过于宽泛或形态含义不明确，禁止猜测映射
183,杏仁粉,70,水果类及其制品,,10g杏仁粉 || 随意杏仁粉 || 60克杏仁粉,4|180|216,可能是原生食材，但频次、命名或类别证据不足
194,青红椒,68,蔬菜类及其制品,青椒|红椒,1个青红椒 || 少许青红椒 || 青红椒,766|1101|1331,明确包含多个独立食材；关系保守保留原文，克数不拆分
201,地瓜粉,66,薯类淀粉及其制品,,三四勺地瓜粉 || 地瓜粉 || 适量地瓜粉,305|877|1015,可能是原生食材，但频次、命名或类别证据不足
213,荞麦面,63,谷类及其制品,,100克      荞麦面（也可以都用面粉） || 克荞麦面350 || 100g荞麦面,451|1412|3124,可能是原生食材，但频次、命名或类别证据不足
224,魔芋,61,薯类淀粉及其制品,,500克魔芋 || 1块魔芋 || 一盒魔芋（块/丝）,469|1294|1524,名称过于宽泛或形态含义不明确，禁止猜测映射
231,椰子粉,59,水果类及其制品,,20克椰子粉 || 5克椰子粉 || 30g椰子粉,2557|3286|4693,可能是原生食材，但频次、命名或类别证据不足
243,郫县豆瓣,56,干豆类及其制品,郫县豆,两勺郫县豆瓣 || 郫县豆瓣 || 2勺郫县豆瓣,278|1496|1530,形态描述存在，但原始食材无法确定
247,水果,56,其他类,,水果 || 适量水果 || 随意水果,969|1572|1638|2343,名称过于宽泛或形态含义不明确，禁止猜测映射
248,肉馅,55,畜肉类及其制品,,肉馅 || 100克肉馅 || 200g肉馅,11|170|292|551|889|1487,名称过于宽泛或形态含义不明确，禁止猜测映射
253,鲜菇粉,53,菌藻类,,适量鲜菇粉 || 1克鲜菇粉,114326|177862,可能是原生食材，但频次、命名或类别证据不足
254,肉丝,53,畜肉类及其制品,肉,适量肉丝 || 100g肉丝 || 一小块肉丝,1735|2188|2827,形态描述存在，但原始食材无法确定
257,全蛋液,53,蛋类及其制品,,30克 全蛋液 || 35克全蛋液 || 20克全蛋液,330|793|1041,名称过于宽泛或形态含义不明确，禁止猜测映射
274,木鱼,51,鱼虾蟹贝类,,,,名称过于宽泛或形态含义不明确，禁止猜测映射
275,麦片,51,谷类及其制品,麦,3勺麦片 || 150克麦片 || 麦片,508|12291|12947,形态描述存在，但原始食材无法确定
