id,calendar_id,level,time_name,season,category,name,note,recommendation_reason,source,entity_type,catalog_ingredient_id,core_ingredient_id,match_status
SF0001,季节-冬,季节,冬,冬,水果,砂糖橘,,,用户参考,ingredient,8073,,seasonal_catalog
SF0002,季节-冬,季节,冬,冬,水果,橙子,,,用户参考,ingredient,154,154,core_exact
SF0003,季节-冬,季节,冬,冬,水果,沃柑,,,用户参考,ingredient,8068,,seasonal_catalog
SF0004,季节-冬,季节,冬,冬,水果,柚子,,,用户参考,ingredient,223,223,core_exact
SF0005,季节-冬,季节,冬,冬,水果,冬枣,,,用户参考,ingredient,520,520,core_exact
SF0006,季节-冬,季节,冬,冬,水果,雪莲果,,,用户参考,ingredient,8084,,seasonal_catalog
SF0007,季节-冬,季节,冬,冬,水果,甘蔗,,,用户参考,ingredient,8070,,seasonal_catalog
SF0008,季节-冬,季节,冬,冬,水果,橘子,,,用户参考,ingredient,214,214,core_exact
SF0009,季节-冬,季节,冬,冬,水果,青枣,,,用户参考,ingredient,8085,,seasonal_catalog
SF0010,季节-冬,季节,冬,冬,水果,释迦,,,用户参考,ingredient,8083,,seasonal_catalog
SF0011,季节-冬,季节,冬,冬,蔬菜,大白菜,,,用户参考,ingredient,158,158,core_exact
SF0012,季节-冬,季节,冬,冬,蔬菜,白萝卜,,,用户参考,ingredient,63,63,core_exact
SF0013,季节-冬,季节,冬,冬,蔬菜,冬笋,,,用户参考,ingredient,184,184,core_exact
SF0014,季节-冬,季节,冬,冬,蔬菜,娃娃菜,,,用户参考,ingredient,70,70,core_exact
SF0015,季节-冬,季节,冬,冬,蔬菜,茼蒿,,,用户参考,ingredient,257,257,core_exact
SF0016,季节-冬,季节,冬,冬,蔬菜,油麦菜,,,用户参考,ingredient,168,168,core_exact
SF0017,季节-冬,季节,冬,冬,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact
SF0018,季节-冬,季节,冬,冬,蔬菜,胡萝卜,,,用户参考,ingredient,6,6,core_exact
SF0019,季节-冬,季节,冬,冬,蔬菜,青椒,,,用户参考,ingredient,11,11,core_exact
SF0020,季节-冬,季节,冬,冬,蔬菜,洋葱,,,用户参考,ingredient,5,5,core_exact
SF0021,季节-冬,季节,冬,冬,蔬菜,菜花,,,用户参考,ingredient,208,208,core_exact
SF0022,季节-冬,季节,冬,冬,蔬菜,甜豌豆,,,用户参考,ingredient,8071,,seasonal_catalog
SF0023,季节-冬,季节,冬,冬,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact
SF0024,季节-冬,季节,冬,冬,蔬菜,菠菜,,,用户参考,ingredient,40,40,core_exact
SF0025,季节-冬,季节,冬,冬,蔬菜,芥菜,,,用户参考,ingredient,256,256,core_exact
SF0026,季节-冬,季节,冬,冬,蔬菜,葵年菜,,,用户参考,ingredient,8078,,seasonal_catalog
SF0027,季节-冬,季节,冬,冬,蔬菜,莴笋,,,用户参考,ingredient,145,145,core_exact
SF0028,季节-冬,季节,冬,冬,蔬菜,油菜,,,用户参考,ingredient,44,44,core_exact
SF0029,季节-冬,季节,冬,冬,蔬菜,菜心,,,用户参考,ingredient,165,165,core_exact
SF0030,季节-冬,季节,冬,冬,蔬菜,芥蓝,,,用户参考,ingredient,352,352,core_exact
SF0031,季节-冬,季节,冬,冬,蔬菜,荸荠,,,用户参考,ingredient,302,302,core_exact
SF0032,季节-冬,季节,冬,冬,蔬菜,莲藕,,,用户参考,ingredient,96,96,core_exact
SF0033,季节-夏,季节,夏,夏,水果,西瓜,,,用户参考,ingredient,160,160,core_exact
SF0034,季节-夏,季节,夏,夏,水果,桃子,,,用户参考,ingredient,267,267,core_exact
SF0035,季节-夏,季节,夏,夏,水果,李子,,,用户参考,ingredient,388,388,core_exact
SF0036,季节-夏,季节,夏,夏,水果,杏子,,,用户参考,ingredient,8066,,seasonal_catalog
SF0037,季节-夏,季节,夏,夏,水果,葡萄,,,用户参考,ingredient,124,124,core_exact
SF0038,季节-夏,季节,夏,夏,水果,荔枝,,,用户参考,ingredient,233,233,core_exact
SF0039,季节-夏,季节,夏,夏,水果,龙眼,,,用户参考,ingredient,8087,,seasonal_catalog
SF0040,季节-夏,季节,夏,夏,水果,芒果,,,用户参考,ingredient,42,42,core_exact
SF0041,季节-夏,季节,夏,夏,水果,哈密瓜,,,用户参考,ingredient,240,240,core_exact
SF0042,季节-夏,季节,夏,夏,水果,香瓜,,,用户参考,ingredient,444,444,core_exact
SF0043,季节-夏,季节,夏,夏,水果,草莓,,,用户参考,ingredient,43,43,core_exact
SF0044,季节-夏,季节,夏,夏,水果,莲雾,,,用户参考,ingredient,8076,,seasonal_catalog
SF0045,季节-夏,季节,夏,夏,水果,菠萝,,,用户参考,ingredient,67,67,core_exact
SF0046,季节-夏,季节,夏,夏,水果,柠檬,,,用户参考,ingredient,22,22,core_exact
SF0047,季节-夏,季节,夏,夏,水果,百香果,,,用户参考,ingredient,120,120,core_exact
SF0048,季节-夏,季节,夏,夏,水果,火龙果,,,用户参考,ingredient,100,100,core_exact
SF0049,季节-夏,季节,夏,夏,水果,猕猴桃,,,用户参考,ingredient,166,166,core_exact
SF0050,季节-夏,季节,夏,夏,水果,香蕉,,,用户参考,ingredient,61,61,core_exact
SF0051,季节-夏,季节,夏,夏,水果,椰子,,,用户参考,ingredient,170,170,core_exact
SF0052,季节-夏,季节,夏,夏,水果,樱桃,,,用户参考,ingredient,135,135,core_exact
SF0053,季节-夏,季节,夏,夏,蔬菜,冬瓜,,,用户参考,ingredient,108,108,core_exact
SF0054,季节-夏,季节,夏,夏,蔬菜,丝瓜,,,用户参考,ingredient,254,254,core_exact
SF0055,季节-夏,季节,夏,夏,蔬菜,苦瓜,,,用户参考,ingredient,265,265,core_exact
SF0056,季节-夏,季节,夏,夏,蔬菜,黄瓜,,,用户参考,ingredient,19,19,core_exact
SF0057,季节-夏,季节,夏,夏,蔬菜,空心菜,,,用户参考,ingredient,264,264,core_exact
SF0058,季节-夏,季节,夏,夏,蔬菜,豆角,,,用户参考,ingredient,84,84,core_exact
SF0059,季节-夏,季节,夏,夏,蔬菜,茄子,,,用户参考,ingredient,110,110,core_exact
SF0060,季节-夏,季节,夏,夏,蔬菜,番茄,,,用户参考,ingredient,14,14,core_exact
SF0061,季节-夏,季节,夏,夏,蔬菜,毛豆,,,用户参考,ingredient,129,129,core_exact
SF0062,季节-夏,季节,夏,夏,蔬菜,莲藕,,,用户参考,ingredient,96,96,core_exact
SF0063,季节-夏,季节,夏,夏,蔬菜,生菜,,,用户参考,ingredient,31,31,core_exact
SF0064,季节-夏,季节,夏,夏,蔬菜,辣椒,,,用户参考,ingredient,17,17,core_exact
SF0065,季节-夏,季节,夏,夏,蔬菜,四季豆,,,用户参考,ingredient,136,136,core_exact
SF0066,季节-夏,季节,夏,夏,蔬菜,芦笋,,,用户参考,ingredient,104,104,core_exact
SF0067,季节-夏,季节,夏,夏,蔬菜,茭白,,,用户参考,ingredient,362,362,core_exact
SF0068,季节-夏,季节,夏,夏,蔬菜,洋葱,,,用户参考,ingredient,5,5,core_exact
SF0069,季节-夏,季节,夏,夏,蔬菜,佛手瓜,,,用户参考,ingredient,436,436,core_exact
SF0070,季节-夏,季节,夏,夏,蔬菜,南瓜,,,用户参考,ingredient,30,30,core_exact
SF0071,季节-夏,季节,夏,夏,蔬菜,苋菜,,,用户参考,ingredient,327,327,core_exact
SF0072,季节-夏,季节,夏,夏,蔬菜,山苏,,,用户参考,ingredient,8065,,seasonal_catalog
