id,calendar_id,seasonal_food_id,time_name,level,season,category,name,content,source,knowledge_type
KB0001,季节-春,SF0079,春,季节,春,水果,草莓,春季（3月-5月，农历一〜三月）的应季水果有草莓。,用户参考,food
KB0002,季节-春,SF0080,春,季节,春,水果,樱桃,春季（3月-5月，农历一〜三月）的应季水果有樱桃。,用户参考,food
KB0003,季节-春,SF0081,春,季节,春,水果,枇杷,春季（3月-5月，农历一〜三月）的应季水果有枇杷。,用户参考,food
KB0004,季节-春,SF0082,春,季节,春,水果,桑葚,春季（3月-5月，农历一〜三月）的应季水果有桑葚。,用户参考,food
KB0005,季节-春,SF0083,春,季节,春,水果,青梅,春季（3月-5月，农历一〜三月）的应季水果有青梅。,用户参考,food
KB0006,季节-春,SF0084,春,季节,春,水果,油桃,春季（3月-5月，农历一〜三月）的应季水果有油桃。,用户参考,food
KB0007,季节-春,SF0085,春,季节,春,水果,番石榴,春季（3月-5月，农历一〜三月）的应季水果有番石榴。,用户参考,food
KB0008,季节-春,SF0086,春,季节,春,水果,青枣,春季（3月-5月，农历一〜三月）的应季水果有青枣。,用户参考,food
KB0009,季节-春,SF0087,春,季节,春,水果,莲雾,春季（3月-5月，农历一〜三月）的应季水果有莲雾（春末）。,用户参考,food
KB0010,季节-春,SF0088,春,季节,春,蔬菜,春笋,春季（3月-5月，农历一〜三月）的应季蔬菜有春笋。,用户参考,food
KB0011,季节-春,SF0089,春,季节,春,蔬菜,韭菜,春季（3月-5月，农历一〜三月）的应季蔬菜有韭菜。,用户参考,food
KB0012,季节-春,SF0090,春,季节,春,蔬菜,荠菜,春季（3月-5月，农历一〜三月）的应季蔬菜有荠菜。,用户参考,food
KB0013,季节-春,SF0091,春,季节,春,蔬菜,菠菜,春季（3月-5月，农历一〜三月）的应季蔬菜有菠菜。,用户参考,food
KB0014,季节-春,SF0092,春,季节,春,蔬菜,芹菜,春季（3月-5月，农历一〜三月）的应季蔬菜有芹菜。,用户参考,food
KB0015,季节-春,SF0093,春,季节,春,蔬菜,莴笋,春季（3月-5月，农历一〜三月）的应季蔬菜有莴笋。,用户参考,food
KB0016,季节-春,SF0094,春,季节,春,蔬菜,香椿,春季（3月-5月，农历一〜三月）的应季蔬菜有香椿。,用户参考,food
KB0017,季节-春,SF0095,春,季节,春,蔬菜,蒜苗,春季（3月-5月，农历一〜三月）的应季蔬菜有蒜苗。,用户参考,food
KB0018,季节-春,SF0096,春,季节,春,蔬菜,豌豆,春季（3月-5月，农历一〜三月）的应季蔬菜有豌豆。,用户参考,food
KB0019,季节-春,SF0097,春,季节,春,蔬菜,茼蒿,春季（3月-5月，农历一〜三月）的应季蔬菜有茼蒿。,用户参考,food
KB0020,季节-春,SF0098,春,季节,春,蔬菜,油菜,春季（3月-5月，农历一〜三月）的应季蔬菜有油菜。,用户参考,food
KB0021,季节-春,SF0099,春,季节,春,蔬菜,辣椒,春季（3月-5月，农历一〜三月）的应季蔬菜有辣椒。,用户参考,food
KB0022,季节-春,SF0100,春,季节,春,蔬菜,青椒,春季（3月-5月，农历一〜三月）的应季蔬菜有青椒。,用户参考,food
KB0023,季节-春,SF0101,春,季节,春,蔬菜,彩椒,春季（3月-5月，农历一〜三月）的应季蔬菜有彩椒。,用户参考,food
KB0024,季节-春,SF0102,春,季节,春,蔬菜,洋葱,春季（3月-5月，农历一〜三月）的应季蔬菜有洋葱。,用户参考,food
KB0025,季节-春,SF0103,春,季节,春,蔬菜,菜花,春季（3月-5月，农历一〜三月）的应季蔬菜有菜花。,用户参考,food
KB0026,季节-春,SF0104,春,季节,春,蔬菜,甜豌豆,春季（3月-5月，农历一〜三月）的应季蔬菜有甜豌豆。,用户参考,food
KB0027,季节-春,SF0105,春,季节,春,蔬菜,马兰头,春季（3月-5月，农历一〜三月）的应季蔬菜有马兰头。,用户参考,food
KB0028,季节-春,SF0106,春,季节,春,蔬菜,瓠子,春季（3月-5月，农历一〜三月）的应季蔬菜有瓠子。,用户参考,food
