id,name,kind
1,家常菜,general
2,快手菜,general
3,早餐,general
4,甜品,general
5,蛋糕,general
6,汤羹,general
7,下饭菜,general
8,烘焙,method
9,小吃,general
10,面包,general
11,零食,general
12,烤箱,general
13,减肥,general
14,饼,general
15,素菜,general
16,面,general
17,凉菜,general
18,饭,general
19,下午茶,general
20,快手早餐,general
21,饮品,general
22,饼干,general
23,蒸,method
24,主食,general
25,大鱼大肉,general
26,辣,general
27,糕点,general
28,红烧,general
29,馒头,general
30,煎,general
31,酱,general
32,面条,general
33,婴幼儿,general
34,粥,general
35,宴客,general
36,汤,general
37,炒,method
38,日式,cuisine
39,吐司,general
40,简单,general
41,下酒菜,general
42,饺子,general
43,烤箱菜,general
44,西式,cuisine
45,中式早餐,general
46,沙拉,general
47,韩式,cuisine
48,素食,general
49,清淡,general
50,儿童,audience
51,包子,general
52,酥,general
53,糖水,general
54,宴客菜,general
55,焖,general
56,电饭煲,general
57,炒饭,general
58,炖,method
59,咖喱,general
60,便当,general
61,宝宝,audience
62,卤,general
63,酸甜,general
64,单身食谱,general
65,披萨,general
66,西式早餐,general
67,创意菜,general
68,三明治,general
69,曲奇,general
70,烤,method
71,年夜饭,general
72,月饼,general
73,布丁,general
74,果酱,general
75,冰淇淋,general
76,火锅,general
77,慕斯,general
78,清蒸,general
79,糖醋,general
80,凉拌,method
81,海鲜,general
82,戚风蛋糕,general
83,甜点,general
84,奶香,general
85,点心,general
86,晚餐,general
87,奶茶,general
88,外貌协会,general
89,果汁,general
90,砂锅,general
91,馄饨,general
92,美容,general
93,辅食,general
94,宿舍,general
95,冷饮,general
96,馅,general
97,小吃零食,general
98,炸,method
99,酒,general
100,面包机,general
101,派,general
102,微波炉,general
103,宝宝辅食,general
104,面食,general
105,蛋挞,general
106,拌面,general
107,平底锅,general
108,午餐,general
109,营养,general
110,麻辣,general
111,小清新,general
112,烧,general
113,煲,general
114,丸子,general
115,汤面,general
116,补血,general
117,咖啡,general
118,宵夜,general
119,干锅,general
120,自制面包,general
121,蛋糕卷,general
122,西餐,general
123,焖饭,general
124,饭团,general
125,香辣,general
126,焗,general
127,食材,general
128,粤菜,cuisine
129,甜品饮品,general
130,马芬,general
131,川菜,cuisine
132,豆浆,general
133,润肺抗燥,general
134,孜然,general
135,炒面,general
136,香煎,general
137,蒜香,general
138,美食,general
139,汤圆,general
140,下饭,general
141,电饼铛,general
142,广东小吃,general
143,乳酪蛋糕,general
144,寿司,general
145,五香,general
146,健康,general
147,视频菜谱,general
148,自制酱,general
149,电饭锅,general
150,圣诞节,general
151,深夜食堂,general
152,鱼香,general
153,煮,method
154,一人食,general
155,日式小吃,general
156,减脂,general
157,川渝小吃,general
158,欧式面包,general
159,粽子,general
160,快手,general
161,新手,general
162,盖浇饭,general
163,开胃,general
164,纸杯蛋糕,general
165,中秋节,general
166,油炸,general
167,奶油蛋糕,general
168,凉面,general
169,牛肉,general
170,养生,general
171,生酮,general
