id,层级,名称,公历时间,农历时间,所属季节,顺序,简介
季节-春,季节,春,3月-5月,农历一〜三月,春,101,春季养肝，这样吃解春困！
季节-夏,季节,夏,6月-8月,农历四〜六月,夏,102,夏季养心，这样吃消火气！
季节-秋,季节,秋,9月-11月,农历七〜九月,秋,103,秋季润肺，这样吃抗病魔！
季节-冬,季节,冬,12月-2月,农历十〜十二月,冬,104,冬季补肾，这样吃好体力！
月份-01,月份,1月,1月1日-1月31日,,冬,201,
月份-02,月份,2月,2月1日-2月28日,,冬,202,
月份-03,月份,3月,3月1日-3月31日,,春,203,
月份-04,月份,4月,4月1日-4月30日,,春,204,
月份-05,月份,5月,5月1日-5月31日,,春,205,
月份-06,月份,6月,6月1日-6月30日,,夏,206,
月份-07,月份,7月,7月1日-7月31日,,夏,207,
月份-08,月份,8月,8月1日-8月31日,,夏,208,
月份-09,月份,9月,9月1日-9月30日,,秋,209,
月份-10,月份,10月,10月1日-10月31日,,秋,210,
月份-11,月份,11月,11月1日-11月30日,,秋,211,
月份-12,月份,12月,12月1日-12月31日,,冬,212,
节气-立春,节气,立春,2月3-5日,,春,301,万物蠢动
节气-雨水,节气,雨水,2月18-20日,,春,302,春雨绵绵
节气-惊蛰,节气,惊蛰,3月5-7日,,春,303,初雷乍响
节气-春分,节气,春分,3月20-22日,,春,304,昼夜对分
节气-清明,节气,清明,4月4-6日,,春,305,草木萌生
节气-谷雨,节气,谷雨,4月19-21日,,春,306,雨养百谷
节气-立夏,节气,立夏,5月5-7日,,夏,307,夏夜渐暖
节气-小满,节气,小满,5月20-22日,,夏,308,谷粒饱满
节气-芒种,节气,芒种,6月5-7日,,夏,309,结实成穗
节气-夏至,节气,夏至,6月21-22日,,夏,310,晕晕沉沉
节气-小暑,节气,小暑,7月6-8日,,夏,311,暑气逼人
节气-大暑,节气,大暑,7月22-24日,,夏,312,酷热高峰
节气-立秋,节气,立秋,8月7-9日,,秋,313,暖凉之交
节气-处暑,节气,处暑,8月22-24日,,秋,314,热气终止
节气-白露,节气,白露,9月7-9日,,秋,315,露珠凝结
节气-秋分,节气,秋分,9月22-24日,,秋,316,步入深秋
节气-寒露,节气,寒露,10月8-9日,,秋,317,寒意沁心
节气-霜降,节气,霜降,10月23-24日,,秋,318,雾气结霜
节气-立冬,节气,立冬,11月7-8日,,冬,319,收割贮藏
节气-小雪,节气,小雪,11月22-23日,,冬,320,阴冷晦暗
节气-大雪,节气,大雪,12月6-8日,,冬,321,冷若雪团
节气-冬至,节气,冬至,12月21-23日,,冬,322,阴阳交替
节气-小寒,节气,小寒,1月5-7日,,冬,323,寒邪入侵
节气-大寒,节气,大寒,1月20-21日,,冬,324,养精蓄锐
节日-春节,节日,春节,,农历正月初一,春,401,年夜团圆饭，吃饺子、年糕、鱼
节日-元宵节,节日,元宵节,,农历正月十五,春,402,吃汤圆、元宵，赏花灯
节日-龙抬头,节日,龙抬头,,农历二月初二,春,403,吃春饼、猪头肉、龙须面
节日-寒食节,节日,寒食节,,清明前1-2日,春,404,禁火吃冷食，江南吃青团
节日-端午节,节日,端午节,,农历五月初五,夏,405,吃粽子，挂艾草、菖蒲
节日-七夕节,节日,七夕节,,农历七月初七,秋,406,吃巧果、面食
节日-中元节,节日,中元节,,农历七月十五,秋,407,吃鸭子
节日-中秋节,节日,中秋节,,农历八月十五,秋,408,吃月饼、螃蟹、芋头，饮桂花酒
节日-重阳节,节日,重阳节,,农历九月初九,秋,409,登高，饮菊花酒，吃重阳糕
节日-腊八节,节日,腊八节,,农历腊月初八,冬,410,喝腊八粥，腌腊八蒜
节日-小年,节日,小年,,农历腊月廿三,冬,411,祭灶，吃糖瓜、饺子
节日-除夕,节日,除夕,,农历腊月最后一天,冬,412,年夜饭，吃饺子、鱼、年糕
