日历id,层级,时间名称,所属季节,类别,名称,备注,推荐理由,数据来源
季节-冬,季节,冬,冬,水果,砂糖橘,,,用户参考
季节-冬,季节,冬,冬,水果,橙子,,,用户参考
季节-冬,季节,冬,冬,水果,沃柑,,,用户参考
季节-冬,季节,冬,冬,水果,柚子,,,用户参考
季节-冬,季节,冬,冬,水果,冬枣,,,用户参考
季节-冬,季节,冬,冬,水果,雪莲果,,,用户参考
季节-冬,季节,冬,冬,水果,甘蔗,,,用户参考
季节-冬,季节,冬,冬,水果,橘子,,,用户参考
季节-冬,季节,冬,冬,水果,青枣,,,用户参考
季节-冬,季节,冬,冬,水果,释迦,,,用户参考
季节-冬,季节,冬,冬,蔬菜,大白菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,白萝卜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,冬笋,,,用户参考
季节-冬,季节,冬,冬,蔬菜,娃娃菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,茼蒿,,,用户参考
季节-冬,季节,冬,冬,蔬菜,油麦菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,卷心菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,胡萝卜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,青椒,,,用户参考
季节-冬,季节,冬,冬,蔬菜,洋葱,,,用户参考
季节-冬,季节,冬,冬,蔬菜,菜花,,,用户参考
季节-冬,季节,冬,冬,蔬菜,甜豌豆,,,用户参考
季节-冬,季节,冬,冬,蔬菜,芹菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,菠菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,芥菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,葵年菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,莴笋,,,用户参考
季节-冬,季节,冬,冬,蔬菜,油菜,,,用户参考
季节-冬,季节,冬,冬,蔬菜,菜心,,,用户参考
季节-冬,季节,冬,冬,蔬菜,芥蓝,,,用户参考
季节-冬,季节,冬,冬,蔬菜,荸荠,,,用户参考
季节-冬,季节,冬,冬,蔬菜,莲藕,,,用户参考
季节-夏,季节,夏,夏,水果,西瓜,,,用户参考
季节-夏,季节,夏,夏,水果,桃子,,,用户参考
季节-夏,季节,夏,夏,水果,李子,,,用户参考
季节-夏,季节,夏,夏,水果,杏子,,,用户参考
季节-夏,季节,夏,夏,水果,葡萄,,,用户参考
