id,时间,层级,所属季节,类别,名称,内容,数据来源
KB0001,春,季节,春,水果,草莓,春季（3月-5月，农历一〜三月）的应季水果有草莓。,用户参考
KB0002,春,季节,春,水果,樱桃,春季（3月-5月，农历一〜三月）的应季水果有樱桃。,用户参考
KB0003,春,季节,春,水果,枇杷,春季（3月-5月，农历一〜三月）的应季水果有枇杷。,用户参考
KB0004,春,季节,春,水果,桑葚,春季（3月-5月，农历一〜三月）的应季水果有桑葚。,用户参考
KB0005,春,季节,春,水果,青梅,春季（3月-5月，农历一〜三月）的应季水果有青梅。,用户参考
KB0006,春,季节,春,水果,油桃,春季（3月-5月，农历一〜三月）的应季水果有油桃。,用户参考
KB0007,春,季节,春,水果,番石榴,春季（3月-5月，农历一〜三月）的应季水果有番石榴。,用户参考
KB0008,春,季节,春,水果,青枣,春季（3月-5月，农历一〜三月）的应季水果有青枣。,用户参考
KB0009,春,季节,春,水果,莲雾,春季（3月-5月，农历一〜三月）的应季水果有莲雾（春末）。,用户参考
KB0010,春,季节,春,蔬菜,春笋,春季（3月-5月，农历一〜三月）的应季蔬菜有春笋。,用户参考
KB0011,春,季节,春,蔬菜,韭菜,春季（3月-5月，农历一〜三月）的应季蔬菜有韭菜。,用户参考
KB0012,春,季节,春,蔬菜,荠菜,春季（3月-5月，农历一〜三月）的应季蔬菜有荠菜。,用户参考
KB0013,春,季节,春,蔬菜,菠菜,春季（3月-5月，农历一〜三月）的应季蔬菜有菠菜。,用户参考
KB0014,春,季节,春,蔬菜,芹菜,春季（3月-5月，农历一〜三月）的应季蔬菜有芹菜。,用户参考
KB0015,春,季节,春,蔬菜,莴笋,春季（3月-5月，农历一〜三月）的应季蔬菜有莴笋。,用户参考
KB0016,春,季节,春,蔬菜,香椿,春季（3月-5月，农历一〜三月）的应季蔬菜有香椿。,用户参考
KB0017,春,季节,春,蔬菜,蒜苗,春季（3月-5月，农历一〜三月）的应季蔬菜有蒜苗。,用户参考
KB0018,春,季节,春,蔬菜,豌豆,春季（3月-5月，农历一〜三月）的应季蔬菜有豌豆。,用户参考
KB0019,春,季节,春,蔬菜,茼蒿,春季（3月-5月，农历一〜三月）的应季蔬菜有茼蒿。,用户参考
KB0020,春,季节,春,蔬菜,油菜,春季（3月-5月，农历一〜三月）的应季蔬菜有油菜。,用户参考
KB0021,春,季节,春,蔬菜,辣椒,春季（3月-5月，农历一〜三月）的应季蔬菜有辣椒。,用户参考
