name,reason
盐,非食材名（碎片/截断）
水,非食材名（碎片/截断）
糖,非食材名（碎片/截断）
油,非食材名（碎片/截断）
虾,非食材名（碎片/截断）
醋,非食材名（碎片/截断）
粉,非食材名（碎片/截断）
菜,非食材名（碎片/截断）
鸡,非食材名（碎片/截断）
面,非食材名（碎片/截断）
角,非食材名（碎片/截断）
酱,非食材名（碎片/截断）
红,非食材名（碎片/截断）
肉,非食材名（碎片/截断）
料,非食材名（碎片/截断）
香,非食材名（碎片/截断）
酒,非食材名（碎片/截断）
牙签,非食材名（碎片/截断）
骨,非食材名（碎片/截断）
碎,非食材名（碎片/截断）
保鲜膜,非食材名（碎片/截断）
牛,非食材名（碎片/截断）
鱼,非食材名（碎片/截断）
奶,非食材名（碎片/截断）
锡纸,非食材名（碎片/截断）
梨,非食材名（碎片/截断）
香料,非食材名（碎片/截断）
合,非食材名（碎片/截断）
无花果干,非食材名（碎片/截断）
黑,非食材名（碎片/截断）
……,非食材名（碎片/截断）
白,非食材名（碎片/截断）
黄,非食材名（碎片/截断）
汁,非食材名（碎片/截断）
纱布,非食材名（碎片/截断）
段,非食材名（碎片/截断）
油纸,非食材名（碎片/截断）
子,非食材名（碎片/截断）
半,非食材名（碎片/截断）
烤盘,非食材名（碎片/截断）
青,非食材名（碎片/截断）
竹签,非食材名（碎片/截断）
鸭,非食材名（碎片/截断）
磅,非食材名（碎片/截断）
...,非食材名（碎片/截断）
猪,非食材名（碎片/截断）
丝,非食材名（碎片/截断）
笋,非食材名（碎片/截断）
饭,非食材名（碎片/截断）
豆,非食材名（碎片/截断）
刮刀,非食材名（碎片/截断）
中,非食材名（碎片/截断）
肠,非食材名（碎片/截断）
蟹,非食材名（碎片/截断）
绿,非食材名（碎片/截断）
元,非食材名（碎片/截断）
沙司,非食材名（碎片/截断）
冰,非食材名（碎片/截断）
…………,非食材名（碎片/截断）
泥,非食材名（碎片/截断）
¹,非食材名（碎片/截断）
硅油纸,非食材名（碎片/截断）
棉绳,非食材名（碎片/截断）
归,非食材名（碎片/截断）
干,非食材名（碎片/截断）
橙,非食材名（碎片/截断）
各,非食材名（碎片/截断）
菇,非食材名（碎片/截断）
排,非食材名（碎片/截断）
……………………,非食材名（碎片/截断）
汤,非食材名（碎片/截断）
.糖,非食材名（碎片/截断）
饼,非食材名（碎片/截断）
手套,非食材名（碎片/截断）
粉粉,非食材名（碎片/截断）
油布,非食材名（碎片/截断）
..,非食材名（碎片/截断）
低,非食材名（碎片/截断）
卡,非食材名（碎片/截断）
........,非食材名（碎片/截断）
量,非食材名（碎片/截断）
鹅,非食材名（碎片/截断）
......,非食材名（碎片/截断）
粥,非食材名（碎片/截断）
枚,非食材名（碎片/截断）
饰,非食材名（碎片/截断）
鹽,非食材名（碎片/截断）
碱,非食材名（碎片/截断）
吸油纸,非食材名（碎片/截断）
茶,非食材名（碎片/截断）
锅,非食材名（碎片/截断）
草绳,非食材名（碎片/截断）
麦,非食材名（碎片/截断）
吧,非食材名（碎片/截断）
儿,非食材名（碎片/截断）
烘焙纸,非食材名（碎片/截断）
鲜,非食材名（碎片/截断）
爱,非食材名（碎片/截断）
生,非食材名（碎片/截断）
深黑可可粉,非食材名（碎片/截断）
心,非食材名（碎片/截断）
盆,非食材名（碎片/截断）
蔥,非食材名（碎片/截断）
人,非食材名（碎片/截断）
‼️,非食材名（碎片/截断）
～盐,非食材名（碎片/截断）
末,非食材名（碎片/截断）
叶,非食材名（碎片/截断）
高,非食材名（碎片/截断）
膏,非食材名（碎片/截断）
绳,非食材名（碎片/截断）
菜类,非食材名（碎片/截断）
味,非食材名（碎片/截断）
支,非食材名（碎片/截断）
.盐,非食材名（碎片/截断）
半水,非食材名（碎片/截断）
粗,非食材名（碎片/截断）
节,非食材名（碎片/截断）
干无花果,非食材名（碎片/截断）
甜,非食材名（碎片/截断）
制品,非食材名（碎片/截断）
腿,非食材名（碎片/截断）
油》,非食材名（碎片/截断）
精,非食材名（碎片/截断）
丁,非食材名（碎片/截断）
>料,非食材名（碎片/截断）
…,非食材名（碎片/截断）
三,非食材名（碎片/截断）
一,非食材名（碎片/截断）
皮,非食材名（碎片/截断）
椒,非食材名（碎片/截断）
中宝,非食材名（碎片/截断）
～水,非食材名（碎片/截断）
刀,非食材名（碎片/截断）
面肥,非食材名（碎片/截断）
白葱,非食材名（碎片/截断）
月鲜,非食材名（碎片/截断）
线,非食材名（碎片/截断）
装,非食材名（碎片/截断）
盖,非食材名（碎片/截断）
粉……,非食材名（碎片/截断）
-水,非食材名（碎片/截断）
/片,非食材名（碎片/截断）
奈,非食材名（碎片/截断）
“”,非食材名（碎片/截断）
等…,非食材名（碎片/截断）
温,非食材名（碎片/截断）
麻绳,非食材名（碎片/截断）
洋酒,非食材名（碎片/截断）
茄,非食材名（碎片/截断）
没,非食材名（碎片/截断）
可,非食材名（碎片/截断）
无,非食材名（碎片/截断）
羊,非食材名（碎片/截断）
/个,非食材名（碎片/截断）
抽,非食材名（碎片/截断）
.....,非食材名（碎片/截断）
碟,非食材名（碎片/截断）
蜜,非食材名（碎片/截断）
油.,非食材名（碎片/截断）
小段,非食材名（碎片/截断）
個,非食材名（碎片/截断）
成粉,非食材名（碎片/截断）
茴,非食材名（碎片/截断）
参,非食材名（碎片/截断）
筋,非食材名（碎片/截断）
料］,非食材名（碎片/截断）
皮》,非食材名（碎片/截断）
紫,非食材名（碎片/截断）
抓,非食材名（碎片/截断）
厨师机,非食材名（碎片/截断）
张,非食材名（碎片/截断）
·盐,非食材名（碎片/截断）
~油,非食材名（碎片/截断）
冷,非食材名（碎片/截断）
嫩,非食材名（碎片/截断）
沫,非食材名（碎片/截断）
馅》,非食材名（碎片/截断）
盏,非食材名（碎片/截断）
冻,非食材名（碎片/截断）
四,非食材名（碎片/截断）
酸,非食材名（碎片/截断）
瓜,非食材名（碎片/截断）
馍,非食材名（碎片/截断）
老,非食材名（碎片/截断）
草,非食材名（碎片/截断）
蛏,非食材名（碎片/截断）
薑,非食材名（碎片/截断）
.水,非食材名（碎片/截断）
唐,非食材名（碎片/截断）
圈,非食材名（碎片/截断）
砂,非食材名（碎片/截断）
筋面粉,非食材名（碎片/截断）
加,非食材名（碎片/截断）
山粉,非食材名（碎片/截断）
柠,非食材名（碎片/截断）
汁.,非食材名（碎片/截断）
喜,非食材名（碎片/截断）
辣,非食材名（碎片/截断）
具,非食材名（碎片/截断）
啦,非食材名（碎片/截断）
約,非食材名（碎片/截断）
细绳,非食材名（碎片/截断）
祘,非食材名（碎片/截断）
馅,非食材名（碎片/截断）
放,非食材名（碎片/截断）
手,非食材名（碎片/截断）
头,非食材名（碎片/截断）
馅＃,非食材名（碎片/截断）
菇粉,非食材名（碎片/截断）
-盐,非食材名（碎片/截断）
就,非食材名（碎片/截断）
种,非食材名（碎片/截断）
筷,非食材名（碎片/截断）
蓝,非食材名（碎片/截断）
籽,非食材名（碎片/截断）
好,非食材名（碎片/截断）
.......,非食材名（碎片/截断）
……水,非食材名（碎片/截断）
#水,非食材名（碎片/截断）
/粒,非食材名（碎片/截断）
酱》,非食材名（碎片/截断）
屑,非食材名（碎片/截断）
油……,非食材名（碎片/截断）
料……,非食材名（碎片/截断）
软,非食材名（碎片/截断）
行水,非食材名（碎片/截断）
....,非食材名（碎片/截断）
等……,非食材名（碎片/截断）
”......,非食材名（碎片/截断）
粉］,非食材名（碎片/截断）
···,非食材名（碎片/截断）
次,非食材名（碎片/截断）
结,非食材名（碎片/截断）
滤网,非食材名（碎片/截断）
全,非食材名（碎片/截断）
荚,非食材名（碎片/截断）
.,非食材名（碎片/截断）
翅,非食材名（碎片/截断）
°,非食材名（碎片/截断）
网,非食材名（碎片/截断）
尖,非食材名（碎片/截断）
了,非食材名（碎片/截断）
陷,非食材名（碎片/截断）
糕,非食材名（碎片/截断）
等,非食材名（碎片/截断）
糠,非食材名（碎片/截断）
麻,非食材名（碎片/截断）
-午,非食材名（碎片/截断）
.馅,非食材名（碎片/截断）
－水,非食材名（碎片/截断）
桶,非食材名（碎片/截断）
蚬,非食材名（碎片/截断）
桃,非食材名（碎片/截断）
备,非食材名（碎片/截断）
熟,非食材名（碎片/截断）
…盐,非食材名（碎片/截断）
或,非食材名（碎片/截断）
模,非食材名（碎片/截断）
蒙,非食材名（碎片/截断）
纸,非食材名（碎片/截断）
蚝,非食材名（碎片/截断）
兔,非食材名（碎片/截断）
/条,非食材名（碎片/截断）
/盐,非食材名（碎片/截断）
”量,非食材名（碎片/截断）
耳,非食材名（碎片/截断）
……馅,非食材名（碎片/截断）
束,非食材名（碎片/截断）
花,非食材名（碎片/截断）
／盐,非食材名（碎片/截断）
截,非食材名（碎片/截断）
………………,非食材名（碎片/截断）
菜》,非食材名（碎片/截断）
䓤,非食材名（碎片/截断）
尾,非食材名（碎片/截断）
羌,非食材名（碎片/截断）
管,非食材名（碎片/截断）
灯,非食材名（碎片/截断）
茄膏,非食材名（碎片/截断）
粉圆,非食材名（碎片/截断）
》水,非食材名（碎片/截断）
不,非食材名（碎片/截断）
馕,非食材名（碎片/截断）
牙,非食材名（碎片/截断）
芹,非食材名（碎片/截断）
酥,非食材名（碎片/截断）
酱……,非食材名（碎片/截断）
堆,非食材名（碎片/截断）
》糖,非食材名（碎片/截断）
芡,非食材名（碎片/截断）
粑,非食材名（碎片/截断）
粉》,非食材名（碎片/截断）
泥》,非食材名（碎片/截断）
盐.,非食材名（碎片/截断）
哦,非食材名（碎片/截断）
塩,非食材名（碎片/截断）
①,非食材名（碎片/截断）
②,非食材名（碎片/截断）
③,非食材名（碎片/截断）
酱”,非食材名（碎片/截断）
蚌,非食材名（碎片/截断）
度,非食材名（碎片/截断）
薯,非食材名（碎片/截断）
冬,非食材名（碎片/截断）
选,非食材名（碎片/截断）
酱＃,非食材名（碎片/截断）
／水,非食材名（碎片/截断）
料……………,非食材名（碎片/截断）
／粉,非食材名（碎片/截断）
烤网,非食材名（碎片/截断）
素,非食材名（碎片/截断）
__,非食材名（碎片/截断）
湿,非食材名（碎片/截断）
果,非食材名（碎片/截断）
壳粉,非食材名（碎片/截断）
棒,非食材名（碎片/截断）
'糖,非食材名（碎片/截断）
浆,非食材名（碎片/截断）
谁,非食材名（碎片/截断）
胡,非食材名（碎片/截断）
………,非食材名（碎片/截断）
·糖,非食材名（碎片/截断）
-油,非食材名（碎片/截断）
品鲜,非食材名（碎片/截断）
卖,非食材名（碎片/截断）
杆,非食材名（碎片/截断）
捏,非食材名（碎片/截断）
法”,非食材名（碎片/截断）
————————,非食材名（碎片/截断）
状,非食材名（碎片/截断）
菜精,非食材名（碎片/截断）
要,非食材名（碎片/截断）
前,非食材名（碎片/截断）
.油,非食材名（碎片/截断）
裹,非食材名（碎片/截断）
粉※,非食材名（碎片/截断）
”酱,非食材名（碎片/截断）
时,非食材名（碎片/截断）
体,非食材名（碎片/截断）
盐……,非食材名（碎片/截断）
蛋……,非食材名（碎片/截断）
—水,非食材名（碎片/截断）
