name,usage_count,reason
白糖,1003,调味料
料酒,479,调味料
蜂蜜,449,调味料
生抽,441,调味料
花椒,379,调味料
黑胡椒,376,调味料
酱油,370,调味料
黄油,368,调味料
蚝油,365,调味料
淡奶油,361,调味料
食用油,356,调味料
冰糖,356,调味料
橄榄油,341,调味料
辣椒粉,336,调味料
香油,328,调味料
鸡精,318,调味料
红糖,300,调味料
豆瓣酱,279,调味料
玉米油,267,调味料
番茄酱,265,调味料
柠檬汁,260,调味料
老抽,252,调味料
胡椒粉,236,调味料
玉米淀粉,225,调味料
沙拉酱,219,调味料
白醋,219,调味料
花生油,177,调味料
黑胡椒粉,175,调味料
五香粉,165,调味料
猪油,162,调味料
酵母,161,调味料
白胡椒粉,160,调味料
孜然粉,159,调味料
辣椒酱,156,调味料
八角,153,调味料
糖粉,150,调味料
椰子油,143,调味料
香草精,143,调味料
辣椒油,142,调味料
花椒粉,142,调味料
白酒,137,调味料
胡椒,136,调味料
孜然,135,调味料
白胡椒,132,调味料
味精,131,调味料
香叶,129,调味料
高汤,126,调味料
火锅底料,125,调味料
米酒,123,调味料
桂皮,120,调味料
海盐,119,调味料
甜面酱,118,调味料
食油,118,调味料
黄酒,117,调味料
咖喱,116,调味料
麻油,114,调味料
朗姆酒,114,调味料
菜籽油,112,调味料
花椒油,109,调味料
十三香,109,调味料
蛋黄酱,107,调味料
花生酱,105,调味料
吉利丁,105,调味料
茴香,104,调味料
黄豆酱,103,调味料
巧克力酱,101,调味料
泡打粉,100,调味料
老干妈,96,调味料
代糖,91,调味料
鱼露,91,调味料
米醋,87,调味料
陈醋,87,调味料
芝麻酱,87,调味料
黑糖,86,调味料
调味料,85,调味料
蕃茄酱,84,调味料
蒸鱼豉油,83,调味料
无盐黄油,83,调味料
黄冰糖,83,调味料
黄糖,83,调味料
咖喱粉,80,调味料
豆豉,79,调味料
现磨黑胡椒,78,调味料
椒盐,77,调味料
果酱,77,调味料
香醋,75,调味料
苹果醋,75,调味料
食盐,74,调味料
海鲜酱油,73,调味料
韩式辣酱,72,调味料
陈皮,72,调味料
蒜蓉辣酱,71,调味料
味极鲜,71,调味料
麦芽糖,70,调味料
糖浆,69,调味料
葵花籽油,68,调味料
辣酱,67,调味料
红薯淀粉,67,调味料
高度白酒,66,调味料
披萨酱,65,调味料
枫糖浆,65,调味料
花雕酒,64,调味料
千岛酱,63,调味料
酱汁,63,调味料
味淋,62,调味料
鲜奶油,62,调味料
棉花糖,61,调味料
青花椒,60,调味料
花椒面,59,调味料
牛油,59,调味料
核桃油,58,调味料
椰汁,58,调味料
木薯淀粉,57,调味料
土豆淀粉,56,调味料
小苏打,56,调味料
味极鲜酱油,55,调味料
卡仕达酱,55,调味料
奥尔良腌料,54,调味料
甜辣酱,54,调味料
酱料,54,调味料
芥末,54,调味料
黑胡椒酱,53,调味料
水淀粉,53,调味料
红烧酱油,53,调味料
蒜粉,52,调味料
烧烤酱,52,调味料
酸奶油,52,调味料
清酒,52,调味料
橙汁,52,调味料
木糖醇,52,调味料
椒盐粉,52,调味料
菜油,51,调味料
姜粉,50,调味料
浓汤宝,50,调味料
无糖酸奶,50,调味料
亚麻籽油,50,调味料
克盐,50,调味料
糖霜,49,调味料
