ingredient_id,effect_id
1,38
1,44
1,71
1,196
1,206
1,210
1,265
1,347
1,362
1,433
1,446
1,455
1,498
1,525
1,534
1,556
1,567
1,644
1,682
2,44
2,210
2,262
2,265
2,455
2,525
2,567
2,644
3,3
3,38
3,44
3,80
3,196
3,206
3,210
3,262
3,265
3,455
3,465
3,525
3,529
3,534
3,556
3,559
3,567
3,633
3,644
3,682
4,15
4,36
4,446
4,593
4,669
4,679
5,210
5,286
5,390
5,399
5,523
5,525
5,529
5,567
5,596
7,44
7,80
7,455
7,465
7,559
8,67
8,214
8,265
8,315
8,644
9,170
9,347
9,362
9,368
9,398
9,403
9,433
9,690
10,39
10,187
10,429
10,530
10,571
11,44
11,71
11,210
11,262
11,347
11,362
11,433
11,446
11,455
11,498
12,181
12,210
12,411
12,443
12,525
12,567
14,265
14,286
14,347
14,362
14,433
14,596
14,644
15,126
15,210
15,525
15,567
15,669
16,46
16,524
18,44
18,455
19,176
19,338
19,345
19,420
19,454
19,673
20,261
20,525
21,44
21,136
21,261
21,310
21,396
21,455
21,560
21,618
22,193
22,237
22,238
23,71
23,136
23,210
23,310
23,347
23,362
23,406
23,433
23,446
23,498
23,615
23,618
25,210
25,265
25,525
25,567
25,644
28,71
28,126
28,136
28,210
28,257
28,310
28,368
28,446
28,498
28,618
28,669
31,37
31,157
31,275
31,284
31,579
32,94
32,272
32,322
32,372
32,531
32,532
32,590
32,630
36,44
36,347
36,362
36,433
36,453
36,455
36,601
37,38
37,210
37,595
37,643
38,42
38,92
38,110
38,223
38,499
38,536
38,552
38,571
38,624
40,192
40,332
40,336
40,441
41,210
41,525
41,567
48,126
48,206
48,556
48,625
48,626
48,669
50,332
50,336
52,38
52,210
52,595
52,643
54,265
54,297
54,360
54,391
54,410
54,498
54,644
55,44
55,455
56,23
56,197
56,272
56,288
56,311
56,322
56,347
56,362
56,398
56,433
56,531
58,265
58,644
59,534
61,193
61,237
61,238
61,491
61,575
68,177
68,383
68,460
68,497
68,507
68,568
68,597
72,172
72,449
72,558
77,44
77,51
77,83
77,110
77,126
77,206
77,455
77,530
77,556
77,635
79,38
79,86
79,210
79,265
79,588
79,595
79,643
79,644
80,140
80,410
80,452
80,561
80,572
82,210
82,525
82,567
86,174
86,212
97,44
97,47
97,112
97,264
97,403
97,455
97,471
97,476
97,650
97,684
98,4
98,45
98,93
98,242
98,262
98,263
98,382
98,403
98,468
98,511
98,525
98,568
98,584
98,598
102,8
102,112
102,152
102,178
102,222
102,264
102,574
102,650
102,684
105,155
105,660
111,14
111,46
112,206
112,556
115,86
115,588
118,54
118,286
118,457
118,596
123,90
123,338
123,345
123,394
123,452
128,112
128,264
128,650
128,684
133,246
133,552
137,67
137,214
137,315
139,21
139,247
139,614
143,166
143,480
143,552
143,585
144,328
144,409
144,491
144,575
146,199
146,487
148,347
148,362
148,433
153,210
153,525
153,567
155,44
155,455
156,31
156,162
156,199
156,350
156,677
159,168
164,347
164,362
164,433
165,42
165,276
165,391
165,410
165,436
165,498
165,532
165,552
170,38
170,196
170,208
170,347
170,362
170,433
170,682
176,136
176,310
176,618
180,261
181,14
181,46
181,297
181,360
189,166
189,552
196,19
196,130
196,210
196,254
196,304
196,320
197,44
197,455
205,126
205,669
210,36
210,123
210,549
210,593
216,411
216,567
225,411
225,567
226,38
226,189
226,413
226,482
226,548
235,112
235,192
235,264
235,441
235,650
235,684
254,406
254,615
261,210
261,525
261,567
262,242
262,511
262,525
263,286
263,596
272,38
272,189
272,413
279,44
279,278
279,286
279,287
279,455
279,512
279,595
291,44
291,455
295,38
295,120
295,210
295,368
306,473
306,488
308,14
308,31
308,46
308,169
308,657
309,126
309,669
329,92
329,94
329,499
329,590
335,23
335,126
335,669
346,480
346,585
362,36
362,455
380,12
380,234
380,366
380,375
380,409
380,468
380,522
380,570
380,579
380,652
380,678
394,249
394,385
417,23
417,31
417,74
417,80
417,257
417,465
417,559
417,605
425,372
425,630
433,31
433,169
433,657
458,174
458,212
467,193
467,237
467,238
473,259
473,393
473,571
475,110
475,168
476,44
476,455
482,29
482,38
482,420
482,454
482,462
482,532
482,540
482,552
535,38
535,196
535,208
535,682
537,129
537,365
549,453
549,601
564,188
564,548
575,388
575,541
591,123
591,188
591,282
591,409
591,459
591,548
591,549
591,579
591,586
596,38
596,120
596,210
596,225
596,348
596,368
596,581
602,472
602,532
602,548
642,44
642,455
643,385
646,12
646,158
646,249
646,385
646,459
646,532
646,556
646,652
647,99
647,186
647,286
647,330
647,338
647,340
647,345
647,364
647,374
647,478
647,507
707,41
707,47
707,458
707,471
707,476
710,45
723,52
723,450
723,602
727,72
727,432
734,4
734,82
734,93
734,403
734,440
734,462
734,532
734,552
734,598
739,265
739,644
742,155
742,660
747,67
747,214
747,315
767,347
767,362
767,433
785,52
785,221
785,574
805,625
805,626
818,3
818,633
833,387
833,605
833,691
834,524
834,597
880,220
880,586
880,613
885,534
905,357
905,541
910,86
910,588
917,211
917,236
917,240
917,595
953,286
953,596
1012,569
1047,152
1065,21
1065,247
1065,332
1065,385
1065,411
1065,431
1065,469
1065,475
1065,566
1065,594
1065,614
1067,185
1067,597
1090,3
1090,119
1090,400
1090,633
1109,41
1109,52
1109,197
1109,288
1109,311
1109,383
1109,398
1109,450
1109,458
1109,485
1109,602
1109,659
1132,347
1132,362
1132,433
1156,126
1156,635
1180,433
1180,658
1199,96
1199,276
1199,279
1199,324
1199,436
1199,686
1226,292
1232,379
1232,680
1232,681
1254,265
1254,644
1303,398
1358,67
1358,214
1358,315
1361,12
1361,225
1361,581
1361,652
1366,625
1366,626
1404,33
1404,85
1404,573
1421,344
1434,30
1434,94
1434,590
1542,44
1542,455
1550,420
1550,454
1560,556
1604,7
1604,74
1604,189
1604,257
1604,381
1604,452
1604,600
1622,56
1622,154
1622,159
1622,331
1664,15
1664,446
1664,669
1664,679
1792,411
1792,431
1811,550
1939,103
1939,138
1939,256
1939,583
1986,401
1994,547
2011,372
2011,630
2049,70
2049,552
2052,37
2052,157
2052,579
2090,185
2090,597
2097,41
2097,127
2097,168
2097,224
2097,435
2097,470
2097,482
2097,545
2097,548
2097,554
2097,571
2207,5
2353,377
2353,438
2353,556
2517,620
2519,366
2519,375
2519,678
2527,202
2527,679
2573,168
2573,259
2606,64
2606,229
2606,385
2607,40
2607,156
2607,220
2607,383
2607,385
2607,408
2607,418
2607,586
2607,591
2614,50
2614,321
2614,542
2614,603
2618,53
2646,178
2646,222
2646,574
2650,373
2801,95
2801,418
2801,467
3031,327
3031,612
3074,286
3074,596
3109,104
3109,163
3111,43
3111,552
3153,86
3153,186
3153,364
3153,473
3153,488
3153,588
3201,336
3201,562
3256,355
3256,377
3256,438
3256,556
3256,609
3647,322
3647,406
3647,569
3839,56
3839,154
3839,159
3839,331
3921,437
3921,515
3921,552
4052,64
4052,229
4052,385
4598,54
4598,457
4882,130
4923,30
4971,358
5163,98
5163,388
5163,433
5163,461
5163,541
5678,156
5678,385
6225,93
6225,403
6225,569
6250,382
6250,568
6295,324
6295,338
6295,378
6339,347
6339,362
6339,433
6369,429
6369,547
6400,348
6563,359
6563,692
6681,192
6681,274
6681,275
6681,284
6681,411
6681,555
6962,688
7054,179
7054,592
7054,688
7207,167
7682,398
9247,168
9259,525
9259,552
9295,89
9332,14
9332,645
9332,689
9371,625
9371,626
9407,82
9407,440
9519,129
9519,365
9712,175
9712,574
9898,43
9898,552
10114,386
10114,445
10114,493
10240,532
11549,383
11549,460
12168,411
12168,567
15548,274
15548,411
16579,106
16579,189
16579,661
16610,34
16610,206
16610,340
16610,374
16610,409
16610,478
16610,479
16610,555
16610,579
