ingredient_id,group_id
1,9
1,14
1,18
1,27
1,34
1,35
1,38
1,39
1,46
1,47
1,57
1,59
1,62
1,65
1,66
1,76
2,9
2,14
2,18
2,27
2,34
2,35
2,38
2,39
2,46
2,47
2,62
2,65
2,66
2,76
3,9
3,14
3,18
3,27
3,34
3,35
3,38
3,39
3,46
3,47
3,62
3,65
3,66
3,76
4,14
4,18
4,27
4,34
4,35
4,38
4,47
4,49
4,62
4,76
5,14
5,18
5,34
5,35
5,38
5,47
5,62
5,65
5,76
6,14
6,18
6,34
6,35
6,38
6,47
6,57
6,59
6,62
6,63
6,65
6,76
7,14
7,18
7,23
7,27
7,34
7,35
7,38
7,47
7,57
7,59
7,62
7,76
8,14
8,18
8,34
8,35
8,38
8,62
8,76
9,11
9,14
9,18
9,23
9,34
9,35
9,38
9,47
9,57
9,59
9,62
9,65
9,76
10,9
10,11
10,14
10,18
10,34
10,35
10,38
10,39
10,46
10,62
10,66
11,11
11,14
11,18
11,27
11,34
11,35
11,38
11,62
11,65
11,76
12,14
12,18
12,23
12,34
12,35
12,38
12,62
12,65
13,14
13,18
13,34
13,35
13,38
13,47
13,62
14,14
14,18
14,27
14,34
14,35
14,38
14,47
14,62
14,76
15,14
15,18
15,33
15,34
15,35
15,38
15,47
15,62
15,67
15,73
15,76
16,14
16,18
16,33
16,34
16,35
16,38
16,47
16,62
16,67
16,73
16,76
17,14
17,18
17,34
17,35
17,38
17,47
17,62
17,65
17,76
18,14
18,18
18,27
18,34
18,35
18,38
18,62
18,76
19,14
19,18
19,34
19,35
19,38
19,62
19,65
19,76
20,10
20,14
20,18
20,34
20,35
20,38
20,47
20,62
20,76
21,10
21,14
21,18
21,27
21,34
21,35
21,38
21,47
21,62
21,63
21,65
21,76
22,14
22,18
22,34
22,35
22,38
22,47
22,62
22,65
22,76
23,14
23,18
23,27
23,34
23,35
23,62
23,65
24,14
24,18
24,34
24,35
24,38
24,47
24,62
24,76
25,14
25,18
25,35
25,38
25,62
25,76
26,14
26,18
26,34
26,35
26,38
26,47
26,62
27,14
27,18
27,34
27,35
28,14
28,18
28,34
28,35
28,38
28,47
28,62
28,76
29,14
29,18
29,34
29,35
29,38
29,62
30,14
30,18
30,34
30,35
30,38
30,47
30,62
30,76
31,14
31,18
31,27
31,34
31,35
31,38
31,47
31,62
31,65
32,14
32,18
32,27
32,34
32,35
32,38
32,47
32,62
32,65
32,76
33,14
33,18
33,34
33,35
33,62
33,76
34,14
34,18
34,34
34,35
34,38
34,47
34,62
34,76
35,14
35,18
35,34
35,35
35,38
35,47
35,62
36,14
36,18
36,27
36,34
36,35
36,38
36,47
36,62
37,14
37,18
37,34
37,35
37,47
37,62
37,65
37,72
38,14
38,18
38,24
38,34
38,35
38,38
38,61
38,62
38,76
39,14
39,18
39,35
40,14
40,18
40,34
40,35
40,62
40,65
41,14
41,18
41,34
41,35
41,47
41,62
42,14
42,18
42,35
43,14
43,18
43,34
43,35
43,62
43,76
44,14
44,18
44,34
44,35
44,38
44,62
45,14
45,18
45,34
45,35
45,62
45,65
45,76
46,14
46,18
46,34
46,35
46,38
46,47
46,62
47,14
47,18
47,34
47,35
48,9
48,14
48,18
48,33
48,34
48,35
48,38
48,39
48,46
48,62
48,63
48,66
48,67
48,73
49,14
49,18
49,34
49,35
49,38
49,47
49,62
49,65
49,76
50,14
50,18
50,34
50,35
50,38
50,47
50,62
50,76
51,14
51,18
51,34
51,35
51,62
52,14
52,18
52,34
52,35
52,62
52,65
52,72
53,18
53,34
53,35
53,62
54,14
54,18
54,34
54,35
54,38
54,62
54,76
55,14
55,18
55,27
55,34
55,35
55,38
55,47
55,62
55,65
55,76
56,14
56,18
56,27
56,34
56,35
56,38
56,57
56,59
56,62
56,76
57,14
57,18
57,34
57,35
57,47
57,62
57,65
57,76
58,14
58,18
58,23
58,34
58,35
58,38
58,47
58,62
58,76
59,14
59,18
59,34
59,35
59,38
59,62
60,18
60,34
60,35
60,38
60,62
61,14
61,18
61,34
61,35
61,62
61,65
62,14
62,18
62,34
62,35
62,62
62,76
63,14
63,35
63,38
64,14
64,18
64,34
64,35
64,47
64,57
64,59
64,62
64,76
65,14
65,18
65,34
65,35
65,62
66,14
66,18
66,34
66,35
66,47
66,62
66,76
67,14
67,18
67,34
67,35
67,38
67,47
67,62
67,76
68,11
68,14
68,18
68,34
68,35
68,38
68,47
68,62
68,76
69,14
69,18
69,34
69,35
69,38
69,47
69,62
70,14
70,18
70,34
70,35
70,62
70,76
71,14
71,18
71,34
71,35
71,38
71,62
72,14
72,18
72,34
72,35
72,38
72,62
73,14
73,18
73,35
73,38
73,62
74,14
74,18
74,34
74,35
74,62
75,14
75,18
75,23
75,34
75,35
75,38
75,62
76,14
76,18
76,34
76,35
76,62
77,9
77,14
77,18
77,27
77,33
77,34
77,35
77,38
77,39
77,46
77,62
77,66
77,67
77,73
77,76
78,14
78,18
78,34
78,35
78,38
78,47
78,62
78,65
78,76
79,14
79,18
79,34
79,35
79,38
79,47
79,62
79,65
79,72
79,76
80,14
80,18
80,34
80,35
80,47
80,62
80,76
81,14
81,18
81,35
82,14
82,18
82,34
82,35
82,38
82,47
82,62
82,76
83,14
83,18
83,34
83,35
83,62
84,18
84,35
84,62
85,14
85,18
85,34
85,35
85,47
85,62
85,76
86,14
86,18
86,34
86,35
86,38
86,47
86,62
86,76
87,9
87,14
87,18
87,23
87,27
87,34
87,35
87,38
87,39
87,46
87,47
87,62
87,66
88,14
88,18
88,34
88,35
88,62
89,14
89,18
89,34
89,35
89,38
89,62
89,65
90,14
90,18
90,34
90,35
90,62
91,14
91,18
91,35
92,14
92,18
92,34
92,35
93,14
93,18
93,35
93,62
94,14
94,18
94,35
94,62
95,14
95,18
95,34
95,35
95,38
95,62
96,14
96,18
96,34
96,35
96,62
97,14
97,18
97,27
97,34
97,35
97,38
97,47
97,62
97,76
98,14
98,18
98,34
98,35
98,62
99,14
99,18
99,34
99,35
99,62
100,4
100,14
100,18
100,34
100,35
100,62
101,14
101,18
101,34
101,35
101,38
101,62
101,76
102,14
102,18
102,27
102,35
102,62
102,76
103,14
103,18
103,34
103,35
103,62
103,76
104,14
104,18
104,35
105,14
105,18
105,34
105,35
105,38
105,47
105,62
106,14
106,18
106,34
106,35
106,38
106,47
106,62
106,76
107,14
107,18
107,34
107,35
107,62
108,14
108,18
108,34
108,35
108,38
108,47
108,62
109,18
109,62
110,14
110,18
110,34
110,35
110,38
110,62
110,76
111,14
111,18
111,34
111,35
111,38
111,62
112,6
112,14
112,18
112,27
112,34
112,35
112,62
112,65
112,76
113,14
113,18
113,35
113,62
114,14
114,18
114,27
114,34
114,35
114,38
114,62
114,76
115,14
115,18
115,34
115,35
115,38
115,47
115,62
115,65
115,76
116,14
116,18
116,34
116,35
116,62
117,14
117,18
117,34
117,35
117,38
117,62
118,14
118,18
118,34
118,35
118,47
118,62
118,76
119,62
120,18
121,14
121,18
121,35
122,14
122,18
122,34
122,35
122,57
122,59
122,62
123,14
123,18
123,34
123,35
123,47
123,62
124,14
124,18
124,34
124,35
124,62
124,76
125,14
125,34
125,35
125,38
125,62
126,14
126,18
126,34
126,35
126,62
126,76
127,14
127,18
127,34
127,35
127,62
128,9
128,14
128,18
128,27
128,34
128,35
128,39
128,46
128,62
128,66
129,14
129,18
129,34
129,35
129,62
130,14
130,18
130,35
131,14
131,18
131,35
132,14
132,18
132,27
132,34
132,35
132,62
133,14
133,18
133,35
133,62
133,65
134,14
134,18
134,34
134,35
134,38
134,47
134,62
135,14
135,18
135,34
135,35
135,62
136,14
136,18
136,34
136,35
136,62
137,14
137,18
137,34
137,35
137,62
138,14
138,18
138,34
138,35
138,62
139,14
139,18
139,34
139,35
139,62
141,14
141,34
141,35
141,38
141,62
141,76
143,14
143,18
143,34
143,35
143,38
143,62
144,14
144,18
144,34
144,35
144,62
145,14
145,18
146,14
146,18
146,35
146,62
147,14
147,18
147,34
147,35
147,62
148,14
148,34
148,35
148,62
149,14
149,18
149,35
149,62
150,14
150,18
150,34
150,35
150,38
150,62
151,14
151,62
152,18
153,14
153,18
153,27
153,35
153,38
153,62
154,14
154,18
154,35
154,62
155,14
155,18
155,27
155,34
155,35
155,38
155,57
155,59
155,62
156,14
156,18
156,34
156,35
156,38
156,62
156,76
157,18
157,34
157,62
158,14
158,18
158,35
158,62
158,76
159,14
159,18
159,34
159,35
159,62
160,14
160,18
160,34
160,35
160,62
161,14
161,35
161,62
162,14
162,18
162,34
162,62
163,14
163,18
163,34
163,35
163,62
164,14
164,18
164,34
164,35
164,38
164,62
164,76
165,14
165,18
165,27
165,34
165,35
165,47
165,62
166,14
166,18
166,34
166,35
166,38
166,62
167,14
167,18
167,34
167,35
167,38
167,47
167,62
167,76
168,14
168,18
168,35
168,62
169,14
169,18
169,35
169,62
169,76
170,14
170,18
170,27
170,34
170,35
170,38
170,47
170,62
170,65
171,14
171,18
171,34
171,35
171,38
171,47
171,62
171,76
172,18
172,34
172,35
172,47
172,62
173,14
173,18
173,35
173,62
175,14
175,18
175,34
175,35
175,38
175,47
175,62
176,14
176,18
176,35
176,62
177,14
