id,category_id,name,sort_order
1,1,葱蒜类,1
2,1,薯芋类,2
3,2,液态乳,3
4,3,猪,4
5,1,根菜类,5
6,1,茄果瓜菜类,6
7,4,鸡蛋,7
8,3,牛,8
9,1,嫩茎叶花菜类,9
10,2,奶酪,10
11,5,淀粉类,11
12,5,薯类,12
13,6,玉米,13
14,7,鸡,14
15,6,小麦,15
16,8,种子,16
17,9,饮品,17
18,6,稻米,18
19,10,核果类,19
20,2,酸奶,20
21,10,浆果类,21
22,10,柑橘类,22
23,11,菌类,23
24,9,烘焙与加工食品,24
25,7,禽肉,25
26,8,树坚果,26
27,6,谷物,27
28,8,坚果种子,28
29,6,其他,29
30,11,藻类,30
31,1,蔬菜,31
32,2,其他,32
33,2,奶粉,33
34,12,虾,34
35,10,热带亚热带水果,35
36,10,水果,36
37,13,大豆,37
38,1,野生蔬菜类,38
39,13,赤豆,39
40,14,其他,40
41,15,其他,41
42,10,仁果类,42
43,3,羊,43
44,1,鲜豆类,44
45,3,畜肉,45
46,12,其他,46
47,12,鱼,47
48,12,贝,48
49,13,绿豆,49
50,11,菌藻,50
51,1,水生蔬菜类,51
52,13,豆制品,52
53,12,水产,53
54,4,鹌鹑蛋,54
55,4,蛋,55
56,13,其他,56
57,6,小米黄米,57
58,10,瓜果类,58
59,2,乳制品,59
60,12,蟹,60
61,4,鸭蛋,61
62,7,鹅,62
63,7,鸭,63
64,7,其他,64
65,13,芸豆,65
66,3,其他,66
67,6,大麦,67
68,3,驴,68
69,4,鹅蛋,69
70,7,火鸡,70
71,3,马,71
