name,usage_count,category,category_major,category_sub,nutrition_match,nutrition_source_name,可食部%,水分g,能量kcal,能量kJ,蛋白质g,脂肪g,碳水化合物g,膳食纤维g,胆固醇mg,灰分g,维生素A(ugRE),胡萝卜素(ug),视黄醇(ug),硫胺素mg,核黄素mg,烟酸mg,维生素Cmg,维生素E总mg,钙mg,磷mg,钾mg,钠mg,镁mg,铁mg,锌mg,硒(ug),铜mg,锰mg,tcm_name,tcm_taste,tcm_user,tcm_not_user,tcm_side_effects,tcm_toxicity,tcm_production_place,category_source,quality
葱,1056,蔬菜类及其制品-葱蒜类,蔬菜类及其制品,葱蒜类,alias,葱（小葱，鲜）,73,92.7,27,112,1.6,0.4,4.9,1.4,0,0.4,70,840,0,0.05,0.06,0.40,21.0,0.49,72,26,143,10.4,18,1.3,0.35,1.06,0.06,0.16,葱,,,,,,分布：全国各地均有栽植。,nutrition_table,core
蒜,928,蔬菜类及其制品-葱蒜类,蔬菜类及其制品,葱蒜类,alias,大蒜（白皮，鲜）［蒜头］,85,66.6,128,536,4.5,0.2,27.6,1.1,0,1.1,3,30,0,0.04,0.06,0.60,7.0,1.07,39,117,302,19.6,21,1.2,0.88,3.09,0.22,0.29,蒜,,,,,,江苏等省,nutrition_table,core
姜,827,蔬菜类及其制品-薯芋类,蔬菜类及其制品,薯芋类,alias,姜（鲜）［黄姜］,95,87.0,46,194,1.3,0.6,10.3,2.7,0,0.8,14,170,0,0.02,0.03,0.80,4.0,—,27,25,295,14.9,44,1.4,0.34,0.56,0.14,3.20,姜,,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。,阴虚内热及邪热亢盛者忌食。,,,中国等亚洲地区,nutrition_table,core
牛奶,704,乳类及其制品-液态乳,乳类及其制品,液态乳,alias,纯牛奶（代表值，全脂）,100,87.6,65,271,3.3,3.6,4.9,0.0,17,0.7,54,—,54,0.03,0.12,0.11,Tr,0.13,107,90,180,63.7,11,0.3,0.28,1.34,0.01,0.01,牛奶,,,,,,,nutrition_table,core
猪肉,564,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,猪肉（代表值，fat30g）,91,54.9,331,1370,15.1,30.1,0.0,0.0,86,0.8,15,0,15,0.30,0.13,4.10,Tr,0.67,6,121,218,56.8,16,1.3,1.78,7.90,0.12,0.03,猪肉,,,,,,,nutrition_table,core
洋葱,540,蔬菜类及其制品-葱蒜类,蔬菜类及其制品,葱蒜类,alias,洋葱（鲜）［葱头］,90,89.2,40,169,1.1,0.2,9.0,0.9,0,0.5,2,20,0,0.03,0.03,0.30,8.0,0.14,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14,洋葱,,,,,,全世界,nutrition_table,core
胡萝卜,538,蔬菜类及其制品-根菜类,蔬菜类及其制品,根菜类,alias,胡萝卜（红）［金笋，丁香萝卜］,96,89.2,39,162,1.0,0.2,8.8,1.1,0,0.8,344,4130,0,0.04,0.03,0.60,13.0,0.41,32,27,190,71.4,14,1.0,0.23,0.63,0.08,0.24,胡萝卜,,一般人都可食用。更适宜癌症、高血压、夜盲症、干眼症患者、营养不良、食欲不振者、皮肤粗糙者。,一般人都可食用。,,,世界各地,nutrition_table,core
干辣椒,455,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,辣椒（红，尖，干）,88,14.6,295,1236,15.0,12.0,52.7,41.7,0,5.7,—,—,0,0.53,0.16,1.20,—,8.76,12,298,1085,4.0,131,6.0,8.21,—,0.61,11.70,干辣椒,,,,,,,nutrition_table,core
鸡蛋,440,蛋类及其制品-鸡蛋,蛋类及其制品,鸡蛋,alias,鸡蛋（代表值）,87,75.2,139,581,13.1,8.6,2.4,0.0,648,0.9,255,—,216,0.09,0.20,0.20,Tr,1.14,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,鸡蛋,,一般人均可食用适宜体质虚弱，营养不良，贫血及妇女产后病后调养；适宜婴幼儿发育期补养。,患高热、腹泻、肝炎、肾炎、胆囊炎、胆石症之人忌食；老年高血压、高血脂、冠心病人，宜少量食用鸡蛋，一般每日不超过1只，不宜多食，这样限量食用，既可补充优质蛋白质，又不影响血脂水平。,,,,nutrition_table,core
牛肉,406,畜肉类及其制品-牛,畜肉类及其制品,牛,alias,牛肉（代表值，fat9g）,100,69.8,160,669,20.0,8.7,0.5,0.0,58,1.1,3,0,3,0.04,0.11,4.15,Tr,0.68,5,182,212,64.1,22,1.8,4.70,3.15,0.05,0.03,牛肉,,,,,,,nutrition_table,core
